Quarter,Time,Down,ToGo,Location,PIT,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,PIT 30,0,0,"Jeff Reed kicks off 73 yards, returned by Derek Stanley for 22 yards (tackle by Anthony Smith)",0.000,0.150
1,14:54,1,10,STL 19,0,0,Marc Bulger pass incomplete deep left intended for Isaac Bruce,0.150,-0.390
1,14:50,2,10,STL 19,0,0,Marc Bulger pass complete short left to Isaac Bruce for 9 yards (tackle by Deshea Townsend),-0.390,0.100
1,14:13,3,1,STL 28,0,0,"Marc Bulger for no gain. Marc Bulger fumbles, recovered by Marc Bulger at STL-27",0.100,-1.500
1,13:37,4,1,STL 28,0,0,"Donnie Jones punts 54 yards, returned by Allen Rossum for -1 yards (tackle by Derek Stanley). Allen Rossum fumbles, recovered by Anthony Madison at PIT-4 (tackle by Darius Vinnett)",-1.500,0.380
1,13:19,1,10,PIT 4,0,0,Ben Roethlisberger pass complete deep middle to Santonio Holmes for 83 yards (tackle by Ronald Bartell),-0.380,4.710
1,12:29,1,10,STL 13,0,0,Willie Parker right end for -1 yards (tackle by Will Witherspoon),4.710,3.900
1,11:51,2,11,STL 14,0,0,Najeh Davenport right tackle for -3 yards (tackle by Corey Chavous),3.900,2.880
1,11:01,3,14,STL 17,6,0,"Ben Roethlisberger pass complete deep right to Nate Washington for 17 yards, touchdown",2.880,7.000
1,,,,STL 2,7,0,Jeff Reed kicks extra point good,0.000,0.000
1,,,,PIT 30,7,0,"Jeff Reed kicks off 72 yards, returned by Derek Stanley for 43 yards (tackle by Lawrence Timmons)",0.000,1.660
1,10:44,1,10,STL 41,7,0,Steven Jackson up the middle for 7 yards (tackle by Tyrone Carter),1.660,2.070
1,10:08,2,3,STL 48,7,0,Marc Bulger pass complete deep middle to Torry Holt for 19 yards (tackle by Ike Taylor),2.070,3.380
1,9:29,1,10,PIT 33,7,0,Steven Jackson up the middle for 10 yards (tackle by Ike Taylor),3.380,4.040
1,8:48,1,10,PIT 23,7,0,Steven Jackson left end for 5 yards (tackle by Troy Polamalu),4.040,4.210
1,8:11,2,5,PIT 18,7,0,Marc Bulger pass complete short left to Steven Jackson for 6 yards (tackle by Larry Foote),4.210,4.780
1,7:26,1,10,PIT 12,7,6,"Marc Bulger pass complete short left to Steven Jackson for 12 yards, touchdown",4.780,7.000
1,,,,PIT 2,7,7,Jeff Wilkins kicks extra point good,0.000,0.000
1,,,,STL 30,7,7,"Jeff Wilkins kicks off 66 yards, returned by Allen Rossum for 24 yards (tackle by Todd Johnson)",0.000,0.810
1,7:08,1,10,PIT 28,7,7,Ben Roethlisberger sacked by Brandon Chillar for -3 yards,0.810,-0.140
1,6:29,2,13,PIT 25,7,7,"Penalty on Willie Colon: False Start, 5 yards (no play)",-0.140,-0.820
1,6:01,2,18,PIT 20,7,7,Ben Roethlisberger pass complete short right to Santonio Holmes for 23 yards (tackle by Chris Draft),-0.820,1.800
1,5:34,1,10,PIT 43,7,7,Carey Davis right tackle for 3 yards (tackle by Victor Adeyanju),1.800,1.660
1,4:55,2,7,PIT 46,7,7,Ben Roethlisberger pass incomplete deep right intended for Heath Miller,1.660,0.960
1,4:45,3,7,PIT 46,7,7,Ben Roethlisberger pass incomplete deep right intended for Santonio Holmes,0.960,-0.320
1,4:39,4,7,PIT 46,7,7,Daniel Sepulveda pass complete short middle to Najeh Davenport for 32 yards (tackle by Brandon Williams),-0.320,4.110
1,3:49,1,10,STL 22,7,7,Najeh Davenport left guard for 1 yard (tackle by James Hall),4.110,3.700
1,3:12,2,9,STL 21,7,7,Ben Roethlisberger sacked by La'Roi Glover for -9 yards,3.700,1.820
1,2:35,3,18,STL 30,7,7,Ben Roethlisberger pass complete to Hines Ward for 19 yards (tackle by Corey Chavous),1.820,4.840
1,1:51,1,10,STL 11,7,7,Najeh Davenport right tackle for no gain (tackle by Chris Draft),4.840,4.140
1,1:11,2,10,STL 11,7,7,Najeh Davenport left guard for 6 yards (tackle by Brandon Chillar),4.140,4.440
1,0:30,3,4,STL 5,7,7,Ben Roethlisberger up the middle for 2 yards (tackle by Brandon Chillar),4.440,3.050
Quarter,Time,Down,ToGo,Location,PIT,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,2,STL 3,10,7,Jeff Reed 21 yard field goal good,3.050,3.000
2,,,,PIT 30,10,7,"Jeff Reed kicks off 69 yards, returned by Derek Stanley for 49 yards (tackle by Anthony Smith)",0.000,2.260
2,14:49,1,10,,10,7,Steven Jackson right guard for 36 yards (tackle by Tyrone Carter),2.260,4.650
2,14:11,1,10,PIT 14,10,7,Antonio Pittman right guard for 2 yards (tackle by Travis Kirschke),4.650,4.330
2,13:32,2,8,PIT 12,10,7,Marc Bulger pass incomplete short left intended for Torry Holt,4.330,3.430
2,13:26,3,8,PIT 12,10,13,"Marc Bulger pass complete short right to Isaac Bruce for 12 yards, touchdown",3.430,7.000
2,,,,PIT 2,10,14,Jeff Wilkins kicks extra point good,0.000,0.000
2,,,,STL 30,10,14,"Jeff Wilkins kicks off 61 yards, returned by Allen Rossum for 26 yards (tackle by Richard Owens)",0.000,1.270
2,13:12,1,10,PIT 35,10,14,Santonio Holmes left end for 7 yards (tackle by Corey Chavous),1.270,1.670
2,12:45,2,3,PIT 42,10,14,Najeh Davenport up the middle for 14 yards (tackle by Chris Draft),1.670,2.650
2,12:07,1,10,STL 44,10,14,Najeh Davenport right tackle for 6 yards (tackle by Ronald Bartell),2.650,2.920
2,11:27,2,4,STL 38,10,14,Najeh Davenport up the middle for 5 yards (tackle by Victor Adeyanju),2.920,3.380
2,10:46,1,10,STL 33,16,14,"Ben Roethlisberger pass complete deep right to Nate Washington for 33 yards, touchdown. Penalty on Jonathan Wade: Defensive Pass Interference (Declined)",3.380,7.000
2,,,,STL 2,17,14,Jeff Reed kicks extra point good,0.000,0.000
2,,,,PIT 30,17,14,"Jeff Reed kicks off 66 yards, returned by Derek Stanley for 24 yards (tackle by Grant Mason)",0.000,0.810
2,10:32,1,10,STL 28,17,14,"Marc Bulger pass complete deep left to Torry Holt for 17 yards (tackle by Troy Polamalu). Penalty on Alex Barron: Offensive Holding, 10 yards (no play)",0.810,-0.040
2,10:01,1,20,STL 18,17,14,Marc Bulger pass complete short right to Isaac Bruce for 8 yards (tackle by Ike Taylor),-0.040,-0.010
2,9:18,2,12,STL 26,17,14,Marc Bulger pass incomplete short right intended for Torry Holt (defended by Ike Taylor),-0.010,-0.690
2,9:13,3,12,STL 26,17,14,Steven Jackson right end for 7 yards (tackle by James Harrison),-0.690,-1.180
2,8:44,4,5,STL 33,17,14,"Donnie Jones punts 56 yards, returned by Allen Rossum for 11 yards (tackle by Darius Vinnett)",-1.180,-0.410
2,8:24,1,10,PIT 22,17,14,Ben Roethlisberger pass complete short left to Hines Ward for 4 yards (tackle by Brandon Chillar),0.410,0.410
2,7:45,2,6,PIT 26,17,14,Najeh Davenport left tackle for 8 yards (tackle by Will Witherspoon),0.410,1.200
2,7:05,1,10,PIT 34,17,14,Ben Roethlisberger pass complete short right to Hines Ward for 11 yards (tackle by Corey Chavous),1.200,1.930
2,6:25,1,10,PIT 45,17,14,Najeh Davenport left end for 7 yards (tackle by Corey Chavous),1.930,2.330
2,5:43,2,3,STL 48,17,14,Najeh Davenport left tackle for 10 yards (tackle by Will Witherspoon),2.330,3.050
2,5:01,1,10,STL 38,17,14,Carey Davis right tackle for 5 yards (tackle by Victor Adeyanju),3.050,3.180
