Unnamed: 0,PIT,STL
First Downs,24,17
Rush-Yds-TDs,37-166-1,15-90-0
Cmp-Att-Yd-TD-INT,17-21-293-3-0,21-42-235-3-2
Sacked-Yards,4-34,1-9
Net Pass Yards,259,226
Total Yards,425,316
Fumbles-Lost,2-0,2-0
Turnovers,0,2
Penalties-Yards,2-36,3-20
Third Down Conv.,4-10,7-14
Fourth Down Conv.,1-1,0-2
Time of Possession,36:16,23:44
