Quarter,Time,Tm,Detail,PIT,STL
1.0,10:52,Steelers,Nate Washington 17 yard pass from Ben Roethlisberger (Jeff Reed kick),7,0
,7:14,Rams,Steven Jackson 12 yard pass from Marc Bulger (Jeff Wilkins kick),7,7
2.0,14:57,Steelers,Jeff Reed 21 yard field goal,10,7
,13:20,Rams,Isaac Bruce 12 yard pass from Marc Bulger (Jeff Wilkins kick),10,14
,10:39,Steelers,Nate Washington 33 yard pass from Ben Roethlisberger (Jeff Reed kick),17,14
,1:57,Steelers,Najeh Davenport 12 yard pass from Ben Roethlisberger (Jeff Reed kick),24,14
,1:01,Rams,Jeff Wilkins 52 yard field goal,24,17
3.0,9:22,Steelers,Najeh Davenport 1 yard rush (Jeff Reed kick),31,17
,3:00,Rams,Drew Bennett 23 yard pass from Marc Bulger (Jeff Wilkins kick),31,24
4.0,4:38,Steelers,Jeff Reed 29 yard field goal,34,24
,3:46,Steelers,Ike Taylor 51 yard interception return (Jeff Reed kick),41,24
