Unnamed: 0,MIN,GNB
First Downs,11,29
Rush-Yds-TDs,11-27-0,32-174-2
Cmp-Att-Yd-TD-INT,24-39-194-1-0,31-42-307-2-0
Sacked-Yards,2-15,0-0
Net Pass Yards,179,307
Total Yards,206,481
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,3-23,1-5
Third Down Conv.,2-12,7-13
Fourth Down Conv.,1-4,0-1
Time of Possession,21:27,38:33
