Quarter,Time,Tm,Detail,MIN,GNB
1.0,11:48,Packers,Mason Crosby 35 yard field goal,0,3
2.0,9:11,Packers,Mason Crosby 36 yard field goal,0,6
,4:11,Packers,Allen Lazard 20 yard pass from Aaron Rodgers (Mason Crosby kick),0,13
,1:05,Packers,Davante Adams 11 yard pass from Aaron Rodgers (Mason Crosby kick),0,20
,0:00,Vikings,Greg Joseph 51 yard field goal,3,20
3.0,9:28,Packers,AJ Dillon 4 yard rush (Mason Crosby kick),3,27
,3:22,Packers,Mason Crosby 37 yard field goal,3,30
,0:00,Vikings,K.J. Osborn 14 yard pass from Sean Mannion (Greg Joseph kick),10,30
4.0,8:41,Packers,AJ Dillon 7 yard rush (Mason Crosby kick),10,37
