Quarter,Time,Down,ToGo,Location,DEN,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,DEN 25,0,0,Trevor Siemian pass complete short right to Virgil Green for 2 yards (tackle by TreDavious White),0.610,0.330
1,14:27,2,8,DEN 27,0,0,"Penalty on Andy Janovich: False Start, 5 yards (no play)",0.330,-0.340
1,14:11,2,13,DEN 22,0,0,Trevor Siemian pass complete short right to C.J. Anderson for 2 yards (tackle by Ramon Humber),-0.340,-0.760
1,13:33,3,11,DEN 24,0,0,C.J. Anderson middle for no gain (tackle by Jordan Poyer and Preston Brown),-0.760,-1.770
1,13:02,4,11,DEN 24,0,0,"Riley Dixon punts 37 yards, returned by Brandon Tate for 3 yards (tackle by Will Parks)",-1.770,-1.730
1,12:52,1,10,BUF 42,0,0,LeSean McCoy left tackle for no gain (tackle by Shaquil Barrett),1.730,1.190
1,12:19,2,10,BUF 42,0,0,Tyrod Taylor sacked by Von Miller for -7 yards,1.190,-0.430
1,11:44,3,17,BUF 35,0,0,Tyrod Taylor pass complete short left to LeSean McCoy for 7 yards (tackle by Justin Simmons),-0.430,-0.590
1,11:12,4,10,BUF 42,0,0,"Colton Schmidt punts 58 yards, touchback",-0.590,-0.280
1,11:05,1,10,DEN 20,0,0,Isaiah McKenzie right end for 4 yards (tackle by Preston Brown),0.280,0.270
1,10:24,2,6,DEN 24,0,0,Trevor Siemian pass complete short right to Emmanuel Sanders for 5 yards (tackle by TreDavious White),0.270,0.230
1,9:41,3,1,DEN 29,0,0,Jamaal Charles left end for 2 yards (tackle by Jerry Hughes),0.230,1.000
1,9:14,1,10,DEN 31,0,0,Trevor Siemian pass complete deep right to Emmanuel Sanders for 29 yards (tackle by TreDavious White),1.000,2.920
1,8:35,1,10,BUF 40,0,0,Jamaal Charles right guard for no gain (tackle by Ramon Humber),2.920,2.370
1,8:01,2,10,BUF 40,0,0,Trevor Siemian pass incomplete short right intended for Demaryius Thomas,2.370,1.680
1,7:55,3,10,BUF 40,0,0,"Penalty on Allen Barbre: False Start, 5 yards (no play)",1.680,1.030
1,7:55,3,15,BUF 45,0,0,Trevor Siemian pass incomplete deep left intended for Emmanuel Sanders (defended by Micah Hyde),1.030,0.270
1,7:47,4,15,BUF 45,0,0,"Riley Dixon punts 45 yards, touchback",0.270,-0.280
1,7:35,1,10,BUF 20,0,0,Tyrod Taylor pass complete short middle to LeSean McCoy for 2 yards (tackle by Brandon Marshall),0.280,0.000
1,6:58,2,8,BUF 22,0,0,LeSean McCoy middle for 6 yards (tackle by Justin Simmons),0.000,0.100
1,6:22,3,2,BUF 28,0,0,Tyrod Taylor sacked by Brandon Marshall for -2 yards,0.100,-1.630
1,6:00,4,4,BUF 26,0,0,"Colton Schmidt punts 47 yards, fair catch by Isaiah McKenzie",-1.630,-0.740
1,5:52,1,10,DEN 27,0,0,C.J. Anderson right guard for 1 yard (tackle by Preston Brown and TreDavious White),0.740,0.330
1,5:17,2,9,DEN 28,0,0,Trevor Siemian pass incomplete short left intended for Emmanuel Sanders,0.330,-0.360
1,5:13,3,9,DEN 28,0,0,Trevor Siemian pass complete deep left to Bennie Fowler for 20 yards (tackle by E.J. Gaines). Penalty on E.J. Gaines: Defensive Pass Interference (Declined),-0.360,2.130
1,4:48,1,10,DEN 48,0,0,Trevor Siemian pass incomplete deep right intended for Emmanuel Sanders,2.130,0.000
1,4:43,,,,,,Timeout #1 by Denver Broncos,0.000,-1.580
