Unnamed: 0,DEN,BUF
First Downs,21,16
Rush-Yds-TDs,23-111-1,33-75-0
Cmp-Att-Yd-TD-INT,24-40-259-0-2,20-26-213-2-0
Sacked-Yards,3-4,4-16
Net Pass Yards,255,197
Total Yards,366,272
Fumbles-Lost,1-0,0-0
Turnovers,2,0
Penalties-Yards,10-79,8-69
Third Down Conv.,6-14,6-16
Fourth Down Conv.,0-2,0-0
Time of Possession,29:34,30:26
