Quarter,Time,Down,ToGo,Location,MIA,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Patriots to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Andrew Franks kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,NWE 25,0,0,Jimmy Garoppolo pass complete short middle to Julian Edelman for 13 yards (tackle by Reshad Jones and Xavien Howard),0.610,1.470
1,14:30,1,10,NWE 38,0,0,LeGarrette Blount middle for 10 yards (tackle by Reshad Jones and Michael Thomas),1.470,2.130
1,13:59,1,10,NWE 48,0,0,LeGarrette Blount middle for -1 yards (tackle by Jelani Jenkins),2.130,1.450
1,13:22,2,11,NWE 47,0,0,Jimmy Garoppolo pass complete short right to D.J. Foster for 2 yards (tackle by Xavien Howard and Reshad Jones),1.450,1.020
1,12:40,3,9,NWE 49,0,0,Jimmy Garoppolo pass complete short left to Julian Edelman for 11 yards (tackle by Byron Maxwell),1.020,2.920
1,12:15,1,10,MIA 40,0,0,Jimmy Garoppolo pass complete short right to Martellus Bennett for 26 yards (tackle by Terrence Fede),2.920,4.650
1,11:39,1,10,MIA 14,0,0,LeGarrette Blount left tackle for 2 yards (tackle by Julius Warmsley and Chris Jones),4.650,4.330
1,11:02,2,8,MIA 12,0,6,"Jimmy Garoppolo pass complete short middle to Danny Amendola for 12 yards, touchdown",4.330,7.000
1,11:02,,,MIA 12,0,7,Stephen Gostkowski kicks extra point good,0.000,0.000
1,11:02,,,NWE 35,0,7,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
1,10:53,1,10,MIA 25,0,7,"Ryan Tannehill pass complete short right to Kenny Stills for 9 yards (tackle by Jamie Collins). Penalty on Jonathan Freeny: Defensive Holding, 5 yards (no play)",0.610,0.940
1,10:27,1,10,MIA 30,0,7,Arian Foster right end for 3 yards (tackle by Patrick Chung),0.940,0.800
1,9:53,2,7,MIA 33,0,7,Ryan Tannehill pass incomplete deep right intended for Kenny Stills,0.800,0.100
1,9:47,3,7,MIA 33,0,7,Ryan Tannehill pass incomplete short right intended for Jordan Cameron (defended by Duron Harmon),0.100,-1.180
1,9:42,4,7,MIA 33,0,7,"Matt Darr punts 49 yards, returned by Danny Amendola for 7 yards (tackle by Neville Hewitt)",-1.180,-0.610
1,9:32,1,10,NWE 25,0,7,Jimmy Garoppolo pass complete short right to Chris Hogan for 19 yards (tackle by Xavien Howard),0.610,1.860
1,9:02,1,10,NWE 44,0,7,Jimmy Garoppolo pass complete short left to Julian Edelman for 9 yards (tackle by Isa Abdul-Quddus),1.860,2.530
1,8:24,2,1,MIA 47,0,7,LeGarrette Blount right guard for 2 yards (tackle by Koa Misi),2.530,2.590
1,7:51,1,10,MIA 45,0,7,Jimmy Garoppolo pass complete deep middle to Chris Hogan for 24 yards (tackle by Isa Abdul-Quddus),2.590,4.170
1,7:08,1,10,MIA 21,0,7,LeGarrette Blount left tackle for 1 yard (tackle by Koa Misi and Ndamukong Suh),4.170,3.760
1,6:31,2,9,MIA 20,0,7,Jimmy Garoppolo pass incomplete short middle intended for James White (defended by Jelani Jenkins),3.760,3.070
1,6:27,3,9,MIA 20,0,13,"Jimmy Garoppolo pass complete deep middle to Martellus Bennett for 20 yards, touchdown",3.070,7.000
