Quarter,Time,Tm,Detail,MIA,NWE
1.0,10:53,Patriots,Danny Amendola 12 yard pass from Jimmy Garoppolo (Stephen Gostkowski kick),0,7
,6:22,Patriots,Martellus Bennett 20 yard pass from Jimmy Garoppolo (Stephen Gostkowski kick),0,14
2.0,13:10,Patriots,Danny Amendola 10 yard pass from Jimmy Garoppolo (Stephen Gostkowski kick),0,21
,2:48,Patriots,Stephen Gostkowski 34 yard field goal,0,24
,0:00,Dolphins,Andrew Franks 27 yard field goal,3,24
3.0,8:44,Patriots,LeGarrette Blount 9 yard rush (Stephen Gostkowski kick),3,31
,5:45,Dolphins,Kenny Stills 24 yard pass from Ryan Tannehill (Andrew Franks kick),10,31
4.0,14:51,Dolphins,Jordan Cameron 12 yard pass from Ryan Tannehill (Andrew Franks kick),17,31
,6:06,Dolphins,Kenyan Drake 7 yard rush (Andrew Franks kick),24,31
