Unnamed: 0,PIT,ARI
First Downs,17,19
Rush-Yds-TDs,26-77-0,25-86-1
Cmp-Att-Yd-TD-INT,17-32-244-2-2,21-35-225-1-0
Sacked-Yards,4-39,2-10
Net Pass Yards,205,215
Total Yards,282,301
Fumbles-Lost,3-0,3-2
Turnovers,2,2
Penalties-Yards,11-72,5-30
Third Down Conv.,5-15,7-14
Fourth Down Conv.,1-1,1-1
Time of Possession,32:12,27:48
