Quarter,Time,Tm,Detail,DAL,ATL
1.0,10:46,Cowboys,Dan Bailey 23 yard field goal,3,0
,3:42,Cowboys,Dan Bailey 32 yard field goal,6,0
2.0,14:15,Falcons,Matt Bryant 45 yard field goal,6,3
,0:00,Falcons,Matt Bryant 46 yard field goal,6,6
4.0,14:16,Falcons,Michael Turner 3 yard rush (Matt Bryant kick),6,13
,7:49,Falcons,Matt Bryant 36 yard field goal,6,16
,5:21,Cowboys,Kevin Ogletree 21 yard pass from Tony Romo (Dan Bailey kick),13,16
,0:17,Falcons,Matt Bryant 32 yard field goal,13,19
