Quarter,Time,Down,ToGo,Location,DAL,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,DAL 35,0,0,"Dan Bailey kicks off 65 yards, returned by Jacquizz Rodgers for 21 yards (tackle by Kyle Wilber)",0.000,0.340
1,14:54,1,10,ATL 21,0,0,Matt Ryan pass incomplete short left intended for Lousaka Polite,0.340,-0.200
1,14:50,2,10,ATL 21,0,0,Michael Turner left guard for 1 yard,-0.200,-0.760
1,14:11,3,9,ATL 22,0,0,Matt Ryan pass incomplete short right intended for Harry Douglas,-0.760,-1.900
1,14:07,4,9,ATL 22,0,0,"Matt Bosher punts 47 yards, returned by Dwayne Harris for 37 yards (tackle by Mike Peterson)",-1.900,-3.450
1,13:53,1,10,ATL 32,0,0,Tony Romo pass complete short right to Miles Austin for 9 yards (tackle by Asante Samuel),3.450,4.120
1,13:33,2,1,ATL 23,0,0,Felix Jones right tackle for 3 yards (tackle by Vance Walker),4.120,4.240
1,12:48,1,10,ATL 20,0,0,Tony Romo pass complete short left to Kevin Ogletree for 10 yards,4.240,4.910
1,12:19,1,10,ATL 10,0,0,Tony Romo pass complete short right to Miles Austin for 4 yards (tackle by William Moore),4.910,4.950
1,11:42,2,6,ATL 6,0,0,Felix Jones up the middle for 1 yard (tackle by Jonathan Babineaux),4.950,4.260
1,10:56,3,5,ATL 5,0,0,Tony Romo pass incomplete short left intended for Cole Beasley,4.260,3.010
1,10:49,4,5,ATL 5,3,0,Dan Bailey 23 yard field goal good,3.010,3.000
1,10:46,,,DAL 35,3,0,"Dan Bailey kicks off 65 yards, touchback",0.000,0.280
1,10:46,1,10,ATL 20,3,0,Michael Turner left guard for 1 yard (tackle by Ernie Sims),0.280,-0.130
1,10:04,2,9,ATL 21,3,0,"Matt Ryan pass incomplete. Penalty on Bruce Carter: Illegal Contact, 5 yards (no play)",-0.130,0.670
1,9:57,1,10,ATL 26,3,0,Matt Ryan pass incomplete short middle intended for Michael Turner,0.670,0.130
1,9:51,2,10,ATL 26,3,0,Matt Ryan pass complete deep left to Julio Jones for 38 yards (tackle by Morris Claiborne). Penalty on Morris Claiborne: Defensive Pass Interference (Declined),0.130,3.180
1,9:26,1,10,DAL 36,3,0,Matt Ryan pass complete short middle to Roddy White for 10 yards (tackle by Gerald Sensabaugh),3.180,3.840
1,8:55,1,10,DAL 26,3,0,Michael Turner right tackle for 3 yards (tackle by Anthony Spencer),3.840,3.700
1,8:21,2,7,DAL 23,3,0,"Matt Ryan pass complete short left to Julio Jones for no gain. Penalty on Anthony Spencer: Defensive Offside, 5 yards (no play)",3.700,4.450
1,7:54,2,2,DAL 18,3,0,Michael Turner right tackle for no gain (tackle by DeMarcus Ware),4.450,3.750
1,7:04,3,2,DAL 18,3,0,Jacquizz Rodgers up the middle for -1 yards (tackle by Bruce Carter),3.750,2.280
1,6:20,4,3,DAL 19,3,0,Matt Bryant 37 yard field goal no good,2.280,-0.740
1,6:15,1,10,DAL 27,3,0,"Tony Romo pass complete short right to Jason Witten for 7 yards (tackle by Stephen Nicholas). Penalty on Tyron Smith: Illegal Use of Hands, 10 yards (no play)",0.740,-0.170
1,5:44,1,20,DAL 17,3,0,Tony Romo pass incomplete short right intended for Lance Dunbar,-0.170,-1.290
1,5:39,2,20,DAL 17,3,0,Tony Romo pass incomplete short left intended for Jason Witten,-1.290,-2.100
1,5:35,3,20,DAL 17,3,0,Tony Romo pass complete deep left to Kevin Ogletree for 65 yards (tackle by Dunta Robinson),-2.100,4.370
1,4:42,1,10,ATL 18,3,0,Lance Dunbar left guard for 4 yards (tackle by Robert McClain),4.370,4.430
1,4:01,2,6,ATL 14,3,0,Tony Romo pass incomplete short left intended for Lance Dunbar (defended by Akeem Dent),4.430,3.630
1,3:52,3,6,ATL 14,3,0,Tony Romo pass incomplete short left intended for Dez Bryant (defended by Jonathan Babineaux),3.630,2.530
1,3:47,4,6,ATL 14,6,0,Dan Bailey 32 yard field goal good,2.530,3.000
1,3:42,,,DAL 35,6,0,"Dan Bailey kicks off 62 yards, returned by Jacquizz Rodgers for 24 yards (tackle by Phillip Tanner)",0.000,0.740
1,3:36,1,10,ATL 27,6,0,Matt Ryan pass complete short middle to Julio Jones for 20 yards (tackle by Anthony Spencer),0.740,2.060
1,3:14,1,10,ATL 47,6,0,Jacquizz Rodgers right end for -2 yards (tackle by Anthony Spencer),2.060,1.250
1,2:30,2,12,ATL 45,6,0,Matt Ryan pass complete short left to Tony Gonzalez for 5 yards (tackle by Bruce Carter),1.250,1.220
1,1:45,3,7,,6,0,Matt Ryan pass complete short right to Roddy White for 18 yards (tackle by Danny McCray),1.220,3.450
1,1:00,1,10,DAL 32,6,0,Michael Turner left tackle for 4 yards (tackle by Ernie Sims),3.450,3.440
1,0:14,2,6,DAL 28,6,0,Michael Turner left guard for -1 yards (tackle by DeMarcus Ware),3.440,2.610
Quarter,Time,Down,ToGo,Location,DAL,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,DAL 29,6,0,Matt Ryan pass complete short right to Jason Snelling for 2 yards (tackle by Orlando Scandrick),2.610,1.720
2,14:19,4,5,DAL 27,6,3,Matt Bryant 45 yard field goal good,1.720,3.000
2,14:15,,,ATL 35,6,3,"Matt Bosher kicks off 66 yards, returned by Lance Dunbar for 20 yards (tackle by Antone Smith)",0.000,0.150
2,14:08,1,10,DAL 19,6,3,Felix Jones left guard for no gain (tackle by Jonathan Babineaux),0.150,-0.390
2,13:33,2,10,DAL 19,6,3,Tony Romo pass complete short left to Miles Austin for 11 yards (tackle by Dunta Robinson),-0.390,0.940
2,13:08,1,10,DAL 30,6,3,Lance Dunbar left end for 2 yards (tackle by Kroy Biermann),0.940,0.660
2,12:24,2,8,DAL 32,6,3,Tony Romo pass complete deep left to Dez Bryant for 15 yards. Penalty on Dunta Robinson: Illegal Contact (Declined),0.660,2.060
2,11:55,1,10,DAL 47,6,3,Felix Jones right guard for 3 yards (tackle by William Moore),2.060,1.920
2,11:22,2,7,,6,3,Felix Jones left end for 6 yards (tackle by Dunta Robinson),1.920,2.020
2,10:42,3,1,ATL 44,6,3,"Tony Romo pass incomplete deep right intended for Jason Witten is intercepted by Thomas DeCoud at ATL-25 and returned for 6 yards (tackle by Phillip Tanner). Penalty on Dunta Robinson: Defensive Holding, 5 yards (no play)",2.020,2.980
2,10:33,1,10,ATL 39,6,3,Tony Romo pass incomplete deep right intended for Dez Bryant (defended by Asante Samuel),2.980,2.440
2,10:25,2,10,ATL 39,6,3,Lance Dunbar right end for 3 yards (tackle by Jonathan Babineaux and Robert McClain),2.440,2.150
2,9:43,3,7,ATL 36,6,3,Tony Romo pass incomplete short left intended for Kevin Ogletree,2.150,0.880
2,9:37,4,7,ATL 36,6,3,Dan Bailey 54 yard field goal no good,0.880,-1.860
2,9:34,1,10,ATL 44,6,3,Michael Turner left end for 8 yards (tackle by Josh Brent),1.860,2.400
2,8:52,2,2,DAL 48,6,3,"Matt Ryan sacked by DeMarcus Ware for -7 yards. Matt Ryan fumbles (forced by DeMarcus Ware), recovered by Roddy White at DAL-48",2.400,0.000
2,8:02,,,,6,3,Timeout #1 by Dallas Cowboys,0.000,1.690
2,8:02,3,2,DAL 48,6,3,Matt Ryan pass complete short right to Michael Palmer for 5 yards (tackle by Gerald Sensabaugh and Ernie Sims),1.690,2.720
2,7:17,1,10,DAL 43,6,3,Matt Ryan pass complete short left to Julio Jones for 5 yards (tackle by Morris Claiborne),2.720,2.850
2,7:09,2,5,DAL 38,6,3,Michael Turner left guard for 2 yards (tackle by Ernie Sims),2.850,2.410
2,6:30,3,3,DAL 36,6,3,Matt Ryan pass incomplete short right intended for Julio Jones,2.410,0.890
2,6:24,4,3,DAL 36,6,3,Matt Bosher punts 33 yards,0.890,0.380
2,6:14,1,10,DAL 3,6,3,Felix Jones left guard for 2 yards (tackle by Akeem Dent and William Moore),-0.380,-0.630
2,5:33,2,8,DAL 5,6,3,Tony Romo pass complete short right to Felix Jones for 9 yards (tackle by Asante Samuel),-0.630,-0.280
2,4:56,1,10,DAL 14,6,3,Tony Romo pass complete short middle to Jason Witten for 5 yards (tackle by John Abraham),-0.280,-0.040
2,4:15,2,5,DAL 19,6,3,Lance Dunbar left end for 4 yards (tackle by Robert McClain),-0.040,-0.320
2,3:27,3,1,DAL 23,6,3,Tony Romo pass complete short right to Miles Austin for 17 yards (tackle by Robert McClain),-0.320,0.000
2,2:52,,,,6,3,Timeout #1 by Atlanta Falcons,0.000,1.600
2,2:52,1,10,DAL 40,6,3,Lance Dunbar right end for 1 yard (tackle by Mike Peterson),1.600,1.190
