Unnamed: 0,WAS,ARI
First Downs,16,17
Rush-Yds-TDs,34-109-1,18-62-0
Cmp-Att-Yd-TD-INT,18-28-122-0-3,25-41-255-1-1
Sacked-Yards,0-0,2-15
Net Pass Yards,122,240
Total Yards,231,302
Fumbles-Lost,3-0,3-3
Turnovers,3,4
Penalties-Yards,5-63,8-65
Third Down Conv.,5-14,5-13
Fourth Down Conv.,1-1,0-1
Time of Possession,33:19,26:41
