Quarter,Time,Tm,Detail,WAS,ARI
2.0,14:50,Redskins,John Hall 41 yard field goal,3,0
,8:27,Cardinals,LeRon McCoy 2 yard pass from Kurt Warner (Neil Rackers kick),3,7
,1:06,Cardinals,Neil Rackers 44 yard field goal,3,10
3.0,7:20,Redskins,Clinton Portis 15 yard rush (John Hall kick),10,10
,3:40,Cardinals,Neil Rackers 20 yard field goal,10,13
,3:29,Redskins,Antonio Brown 91 yard kickoff return (John Hall kick),17,13
