Quarter,Time,Tm,Detail,KAN,OAK
1.0,10:40,Chiefs,Dave Rayner 41 yard field goal,3,0
2.0,14:01,Chiefs,Dave Rayner 31 yard field goal,6,0
3.0,2:37,Raiders,Ronald Curry 21 yard pass from Daunte Culpepper (Sebastian Janikowski kick),6,7
4.0,11:30,Chiefs,Larry Johnson 1 yard rush (pass failed),12,7
,5:49,Raiders,Sebastian Janikowski 37 yard field goal,12,10
