Unnamed: 0,SEA,WAS
First Downs,22,15
Rush-Yds-TDs,37-224-1,23-104-0
Cmp-Att-Yd-TD-INT,15-26-187-1-0,13-29-115-2-1
Sacked-Yards,5-31,2-16
Net Pass Yards,156,99
Total Yards,380,203
Fumbles-Lost,2-1,2-1
Turnovers,1,2
Penalties-Yards,4-30,3-15
Third Down Conv.,5-13,5-11
Fourth Down Conv.,1-2,0-2
Time of Possession,34:20,25:40
