Quarter,Time,Down,ToGo,Location,DAL,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss and deferred, Cowboys to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,DAL 25,0,0,Ezekiel Elliott right end for 5 yards (tackle by Earl Mitchell and Reuben Foster),0.610,0.740
1,14:22,2,5,DAL 30,0,0,Dak Prescott pass incomplete short left intended for Terrance Williams (defended by DeForest Buckner),0.740,0.040
1,14:19,3,5,DAL 30,0,0,Dak Prescott pass incomplete short right intended for Dez Bryant (defended by DeForest Buckner),0.040,-1.370
1,14:15,4,5,DAL 30,0,0,"Chris Jones punts 56 yards, returned by Trent Taylor for 10 yards (tackle by Kavon Frazier). Trent Taylor fumbles (forced by Kavon Frazier), recovered by Xavier Woods at SFO-26 and returned for 6 yards",-1.370,4.240
1,14:00,1,10,SFO 20,0,0,Ezekiel Elliott left guard for 14 yards (tackle by Ray-Ray Armstrong),4.240,5.830
1,13:23,1,6,SFO 6,0,0,Ezekiel Elliott left guard for 5 yards (tackle by DeForest Buckner),5.830,5.910
1,12:46,2,1,SFO 1,6,0,"Ezekiel Elliott middle for 1 yard, touchdown",5.910,7.000
1,12:42,,,SFO 15,7,0,Dan Bailey kicks extra point good,0.000,0.000
1,12:42,,,DAL 35,7,0,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.610
1,12:42,1,10,SFO 25,7,0,Carlos Hyde middle for 2 yards (tackle by Tyrone Crawford),0.610,0.330
1,12:19,2,8,SFO 27,7,0,C.J. Beathard sacked by Damien Wilson for -1 yards,0.330,-0.490
1,11:40,3,9,SFO 26,7,0,C.J. Beathard pass incomplete deep left intended for Pierre Garcon,-0.490,-1.630
1,11:34,4,9,SFO 26,7,0,"Bradley Pinion punts 48 yards, out of bounds",-1.630,-0.670
1,11:24,1,10,DAL 26,7,0,Ezekiel Elliott middle for 4 yards (tackle by Ray-Ray Armstrong),0.670,0.670
1,10:51,2,6,DAL 30,7,0,Dak Prescott pass complete short left to Dez Bryant for 9 yards (tackle by Dontae Johnson),0.670,1.530
