Quarter,Time,Tm,Detail,DAL,SFO
1.0,12:42,Cowboys,Ezekiel Elliott 1 yard rush (Dan Bailey kick),7,0
,7:56,Cowboys,Ezekiel Elliott 25 yard rush (Dan Bailey kick),14,0
,4:28,49ers,Robbie Gould 42 yard field goal,14,3
2.0,10:26,Cowboys,Jason Witten 18 yard pass from Dak Prescott (pass failed),20,3
3.0,10:58,Cowboys,Ezekiel Elliott 72 yard pass from Dak Prescott (Jeff Heath kick),27,3
,0:43,Cowboys,Dak Prescott 2 yard rush (Jeff Heath kick failed),33,3
4.0,10:49,Cowboys,Dez Bryant 2 yard pass from Dak Prescott (Jeff Heath kick),40,3
,6:14,49ers,C.J. Beathard 4 yard rush (Robbie Gould kick),40,10
