Unnamed: 0,DAL,SFO
First Downs,27,23
Rush-Yds-TDs,43-265-3,22-103-1
Cmp-Att-Yd-TD-INT,17-27-236-3-0,22-38-235-0-0
Sacked-Yards,0-0,5-48
Net Pass Yards,236,187
Total Yards,501,290
Fumbles-Lost,0-0,4-3
Turnovers,0,3
Penalties-Yards,5-36,2-22
Third Down Conv.,7-11,6-13
Fourth Down Conv.,0-1,0-2
Time of Possession,32:50,27:10
