Quarter,Time,Tm,Detail,PIT,IND
1.0,9:27,Steelers,Matthew Wright 45 yard field goal,3,0
2.0,14:09,Steelers,Matthew Wright 52 yard field goal,6,0
,7:46,Steelers,Najee Harris 6 yard rush (Matthew Wright kick),13,0
,3:48,Colts,Chase McLaughlin 51 yard field goal,13,3
,0:56,Steelers,Matthew Wright 25 yard field goal,16,3
3.0,13:04,Colts,Jonathan Taylor 2 yard rush (Chase McLaughlin kick),16,10
,0:16,Colts,Michael Pittman Jr. 6 yard pass from Matt Ryan (Chase McLaughlin kick),16,17
4.0,9:55,Steelers,Benny Snell Jr. 2 yard rush (George Pickens pass from Kenny Pickett),24,17
