Unnamed: 0,PIT,IND
First Downs,22,19
Rush-Yds-TDs,36-172-2,25-110-1
Cmp-Att-Yd-TD-INT,20-28-174-0-0,22-34-199-1-1
Sacked-Yards,3-23,3-19
Net Pass Yards,151,180
Total Yards,323,290
Fumbles-Lost,0-0,3-1
Turnovers,0,2
Penalties-Yards,3-19,2-20
Third Down Conv.,7-14,3-12
Fourth Down Conv.,0-0,2-3
Time of Possession,34:22,25:38
