Unnamed: 0,TAM,STL
First Downs,30,16
Rush-Yds-TDs,27-146-0,33-98-2
Cmp-Att-Yd-TD-INT,29-50-363-2-1,14-17-234-2-0
Sacked-Yards,0-0,2-13
Net Pass Yards,363,221
Total Yards,509,319
Fumbles-Lost,2-1,0-0
Turnovers,2,0
Penalties-Yards,9-56,5-35
Third Down Conv.,3-10,2-10
Fourth Down Conv.,0-1,0-0
Time of Possession,31:20,28:40
