Quarter,Time,Tm,Detail,TAM,STL
1.0,11:54,Rams,Tavon Austin 17 yard pass from Case Keenum (Greg Zuerlein kick),0,7
,4:52,Buccaneers,Connor Barth 53 yard field goal,3,7
,3:15,Rams,Kenny Britt 60 yard pass from Case Keenum (Greg Zuerlein kick),3,14
2.0,2:09,Rams,Todd Gurley 3 yard rush (Greg Zuerlein kick),3,21
3.0,9:16,Buccaneers,Connor Barth 32 yard field goal,6,21
,5:35,Rams,Tavon Austin 21 yard rush (Greg Zuerlein kick),6,28
4.0,13:05,Buccaneers,Luke Stocker 3 yard pass from Jameis Winston (Connor Barth kick),13,28
,10:39,Rams,Greg Zuerlein 19 yard field goal,13,31
,7:31,Buccaneers,Connor Barth 24 yard field goal,16,31
,1:34,Buccaneers,Austin Seferian-Jenkins 9 yard pass from Jameis Winston (Connor Barth kick),23,31
