Quarter,Time,Down,ToGo,Location,TAM,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Connor Barth kicks off 66 yards, returned by Benny Cunningham for 44 yards (tackle by Donteea Dye)",0.000,-1.800
1,14:54,1,10,STL 43,0,0,Todd Gurley left tackle for 6 yards (tackle by Tony McDaniel and Danny Lansanah),1.800,2.060
1,14:19,2,4,STL 49,0,0,Case Keenum pass complete short left to Lance Kendricks for 11 yards (tackle by Orie Lemon),2.060,2.920
1,13:50,1,10,TAM 40,0,0,Todd Gurley right tackle for 3 yards (tackle by Danny Lansanah and Tony McDaniel),2.920,2.780
1,13:16,2,7,TAM 37,0,0,Case Keenum pass complete short right to Todd Gurley for 19 yards (tackle by Sterling Moore),2.780,4.370
1,12:35,1,10,TAM 18,0,0,Todd Gurley middle for 1 yard (tackle by Tony McDaniel and William Gholston),4.370,3.940
1,12:06,2,9,TAM 17,0,6,"Case Keenum pass complete short left to Tavon Austin for 17 yards, touchdown",3.940,7.000
1,12:06,,,TAM 17,0,7,Greg Zuerlein kicks extra point good,0.000,0.000
1,12:06,,,STL 35,0,7,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.280
1,11:54,1,10,TAM 20,0,7,Doug Martin right guard for 3 yards (tackle by Eugene Sims and Rodney McLeod),0.280,0.140
1,11:19,2,7,TAM 23,0,7,Doug Martin left end for 8 yards (tackle by James Laurinaitis),0.140,1.000
1,10:50,1,10,TAM 31,0,7,Doug Martin right tackle for 9 yards (tackle by Rodney McLeod),1.000,1.680
1,10:12,2,1,TAM 40,0,7,Doug Martin right guard for 5 yards (tackle by Ethan Westbrooks),1.680,1.930
1,9:32,1,10,TAM 45,0,7,Doug Martin right tackle for 5 yards (tackle by Aaron Donald),1.930,2.060
1,9:00,2,5,,0,7,Jameis Winston pass incomplete short right intended for Mike Evans,2.060,1.360
1,8:54,3,5,,0,7,Jameis Winston pass incomplete short right intended for Mike Evans,1.360,-0.060
1,8:50,4,5,,0,7,"Jake Schum punts 35 yards, fair catch by Tavon Austin",-0.060,0.220
1,8:43,1,10,STL 15,0,7,Todd Gurley right guard for 2 yards (tackle by William Gholston),-0.220,-0.440
1,8:07,2,8,STL 17,0,7,"Penalty on Greg Robinson: False Start, 5 yards (no play)",-0.440,-1.000
1,7:41,2,13,STL 12,0,7,Todd Gurley left tackle for 3 yards (tackle by Lavonte David),-1.000,-1.370
1,6:59,3,10,STL 15,0,7,Case Keenum pass incomplete short right intended for Jared Cook,-1.370,-2.440
1,6:47,4,10,STL 15,0,7,"Johnny Hekker punts 46 yards, fair catch by Bobby Rainey",-2.440,-1.530
1,6:44,1,10,TAM 39,0,7,Jameis Winston pass complete short right to Adam Humphries for 10 yards (tackle by Maurice Alexander),1.530,2.190
1,6:14,1,10,TAM 49,0,7,Doug Martin right tackle for 12 yards (tackle by Lamarcus Joyner),2.190,2.980
1,5:45,1,10,STL 39,0,7,Doug Martin middle for 4 yards (tackle by Ethan Westbrooks),2.980,2.980
1,5:05,2,6,STL 35,0,7,Jameis Winston pass incomplete short right intended for Doug Martin,2.980,2.280
1,5:02,3,6,STL 35,0,7,Jameis Winston pass incomplete deep left intended for Mike Evans,2.280,0.970
1,4:57,4,6,STL 35,3,7,Connor Barth 53 yard field goal good,0.970,3.000
1,4:57,,,TAM 35,3,7,"Connor Barth kicks off 70 yards, returned by Benny Cunningham for 23 yards (tackle by Bobby Rainey)",0.000,-0.040
1,4:47,1,10,STL 18,3,7,Tavon Austin right end for 15 yards (tackle by Bradley McDougald),0.040,1.140
1,4:08,1,10,STL 33,3,7,Tre Mason left tackle for 7 yards (tackle by Chris Conte),1.140,1.540
1,3:23,2,3,STL 40,3,13,"Case Keenum pass complete deep left to Kenny Britt for 60 yards, touchdown. Penalty on Jude Adjei-Barimah: Illegal Contact (Declined)",1.540,7.000
1,3:23,,,TAM 40,3,14,Greg Zuerlein kicks extra point good,0.000,0.000
1,3:23,,,STL 35,3,14,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.280
1,3:15,1,10,TAM 20,3,14,Doug Martin middle for 4 yards (tackle by Michael Brockers),0.280,0.270
1,2:44,2,6,TAM 24,3,14,Doug Martin right tackle for 3 yards (tackle by Rodney McLeod),0.270,-0.030
1,2:02,3,3,TAM 27,3,14,"Jameis Winston pass incomplete. Penalty on Jameis Winston: Intentional Grounding, 10 yards",-0.030,-2.320
1,1:52,4,13,TAM 17,3,14,Jake Schum punts 52 yards,-2.320,-1.000
1,1:38,1,10,STL 31,3,14,Case Keenum pass complete short right to Kenny Britt for 11 yards (tackle by Keith Tandy),1.000,1.730
1,1:03,1,10,STL 42,3,14,Todd Gurley middle for 2 yards (tackle by William Gholston),1.730,1.460
1,0:20,2,8,STL 44,3,14,Todd Gurley left end for 3 yards (tackle by William Gholston),1.460,1.160
Quarter,Time,Down,ToGo,Location,TAM,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,STL 47,3,14,Case Keenum pass incomplete short right intended for Bradley Marquez,1.160,-0.260
2,14:57,4,5,STL 47,3,14,Johnny Hekker punts 49 yards,-0.260,0.380
2,14:45,1,10,TAM 4,3,14,"Doug Martin right guard for 4 yards (tackle by Rodney McLeod). Penalty on Gosder Cherilus: Illegal Formation, 2 yards (no play)",-0.380,-0.460
2,14:29,1,12,TAM 2,3,14,Doug Martin right tackle for 4 yards (tackle by Lamarcus Joyner),-0.460,-0.630
2,13:45,2,8,TAM 6,3,14,Jameis Winston pass complete short right to Mike Evans for 7 yards (tackle by Trumaine Johnson),-0.630,-0.370
2,13:05,3,1,TAM 13,3,14,Doug Martin left guard for 5 yards (tackle by Eugene Sims),-0.370,0.040
2,12:23,1,10,TAM 18,3,14,Jameis Winston pass incomplete deep right intended for Austin Seferian-Jenkins,0.040,-0.490
2,12:18,2,10,TAM 18,3,14,Doug Martin left end for 8 yards (tackle by Rodney McLeod),-0.490,-0.140
2,11:40,3,2,TAM 26,3,14,Jameis Winston pass complete short middle to Mike Evans for 10 yards (tackle by Janoris Jenkins),-0.140,1.330
2,10:58,1,10,TAM 36,3,14,Jameis Winston pass complete short right to Mike Evans for 19 yards (tackle by Trumaine Johnson),1.330,2.590
2,10:21,1,10,STL 45,3,14,Charles Sims left end for 13 yards (tackle by Rodney McLeod),2.590,3.450
2,9:37,1,10,STL 32,3,14,Charles Sims middle for -3 yards (tackle by Aaron Donald and Mark Barron),3.450,2.500
