Quarter,Time,Tm,Detail,HOU,MIA
1.0,9:58,Texans,Neil Rackers 23 yard field goal,3,0
,4:33,Texans,Neil Rackers 22 yard field goal,6,0
,2:25,Dolphins,Dan Carpenter 42 yard field goal,6,3
2.0,14:09,Texans,Owen Daniels 4 yard pass from Matt Schaub (Neil Rackers kick),13,3
,0:00,Texans,Neil Rackers 36 yard field goal,16,3
3.0,6:37,Dolphins,Brandon Marshall 12 yard pass from Chad Henne (Dan Carpenter kick),16,10
4.0,12:53,Dolphins,Dan Carpenter 34 yard field goal,16,13
,10:06,Texans,Andre Johnson 23 yard pass from Matt Schaub (Neil Rackers kick),23,13
