Unnamed: 0,NWE,CIN
First Downs,19,19
Rush-Yds-TDs,32-175-1,32-164-0
Cmp-Att-Yd-TD-INT,15-29-128-2-0,17-31-151-1-4
Sacked-Yards,2-12,0-0
Net Pass Yards,116,151
Total Yards,291,315
Fumbles-Lost,1-0,1-1
Turnovers,0,5
Penalties-Yards,4-30,5-25
Third Down Conv.,6-14,4-13
Fourth Down Conv.,0-1,1-2
Time of Possession,27:09,32:51
