Quarter,Time,Tm,Detail,NWE,CIN
1.0,11:44,Patriots,James White 23 yard pass from Tom Brady (Nick Folk kick),7,0
,6:13,Bengals,Cethan Carter 8 yard pass from Andy Dalton (Randy Bullock kick),7,7
,0:14,Bengals,Randy Bullock 34 yard field goal,7,10
2.0,3:51,Patriots,Nick Folk 40 yard field goal,10,10
,0:05,Patriots,Nick Folk 46 yard field goal,13,10
3.0,11:17,Patriots,N'Keal Harry 7 yard pass from Tom Brady (Nick Folk kick),20,10
,7:21,Patriots,Stephon Gilmore 64 yard interception return (Nick Folk kick),27,10
4.0,6:33,Bengals,Randy Bullock 48 yard field goal,27,13
,5:31,Patriots,Rex Burkhead 33 yard rush (Nick Folk kick),34,13
