Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Matt LaCosse,NWE,3,3,22,0,1,14,4.7,8,2.7,4.7,0,,0,0.0,0,97.2
James White,NWE,4,3,49,1,2,-1,-0.3,50,16.7,0.5,1,3.0,1,25.0,0,155.2
Rex Burkhead,NWE,2,2,6,0,0,-6,-3.0,12,6.0,-3.0,0,,0,0.0,0,79.2
Julian Edelman,NWE,5,2,9,0,1,6,3.0,3,1.5,4.6,0,,0,0.0,0,47.9
N'Keal Harry,NWE,4,2,15,1,2,15,7.5,0,0.0,9.5,0,,0,0.0,0,99.0
Mohamed Sanu,NWE,8,2,13,0,,9,4.5,4,2.0,10.8,0,,0,0.0,0,39.6
Sony Michel,NWE,2,1,14,0,1,-3,-3.0,17,17.0,0.0,0,,1,50.0,0,72.9
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Tyler Boyd,CIN,7,3,26,0,1,3,1.0,23,7.7,6.4,0,,0,0.0,2,13.7
Tyler Eifert,CIN,5,3,44,0,2,35,11.7,9,3.0,11.4,0,,1,20.0,0,88.7
Joe Mixon,CIN,3,3,20,0,1,1,0.3,19,6.3,0.3,0,,0,0.0,0,94.4
Giovani Bernard,CIN,2,2,10,0,0,3,1.5,7,3.5,1.5,0,,0,0.0,0,87.5
Cethan Carter,CIN,2,2,13,1,2,8,4.0,5,2.5,4.0,0,,0,0.0,0,133.3
John Ross,CIN,3,2,24,0,2,24,12.0,0,0.0,20.7,0,,0,0.0,1,51.4
Alex Erickson,CIN,5,1,6,0,1,-5,-5.0,11,11.0,8.0,0,,0,0.0,1,0.0
C.J. Uzomah,CIN,2,1,8,0,,5,5.0,3,3.0,6.5,0,,1,50.0,0,60.4
