Quarter,Time,Down,ToGo,Location,NWE,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Patriots to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Randy Bullock kicks off 62 yards, returned by Brandon Bolden for 22 yards (tackle by Stanley Morgan)",0.000,0.610
1,14:57,1,10,NWE 25,0,0,Tom Brady pass incomplete deep middle intended for Mohamed Sanu,0.610,0.060
1,14:52,2,10,NWE 25,0,0,Tom Brady pass complete short left to James White for 22 yards (tackle by William Jackson),0.060,2.060
1,14:23,1,10,NWE 47,0,0,Sony Michel left guard for 8 yards (tackle by Darqueze Dennard and Andrew Billings),2.060,2.600
1,13:48,2,2,CIN 45,0,0,Sony Michel right guard for 12 yards (tackle by Jessie Bates),2.600,3.380
1,13:11,1,10,CIN 33,0,0,N'Keal Harry left end for 10 yards (tackle by Darqueze Dennard),3.380,4.040
1,12:37,1,10,CIN 23,0,0,James White up the middle for no gain (tackle by Nick Vigil and Carlos Dunlap),4.040,3.500
1,11:56,2,10,CIN 23,0,0,Tom Brady pass incomplete short right intended for Julian Edelman,3.500,2.810
1,11:52,3,10,CIN 23,6,0,"Tom Brady pass complete short left to James White for 23 yards, touchdown",2.810,7.000
1,11:44,,,CIN 15,7,0,Nick Folk kicks extra point good,0.000,0.000
1,11:44,,,NWE 35,7,0,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
1,11:44,1,10,CIN 25,7,0,Joe Mixon right tackle for 2 yards (tackle by Lawrence Guy and John Simon),0.610,0.330
1,11:09,2,8,CIN 27,7,0,Joe Mixon up the middle for 7 yards (tackle by Lawrence Guy and Danny Shelton),0.330,0.560
1,10:24,3,1,CIN 34,7,0,Joe Mixon right guard for 3 yards (tackle by Danny Shelton),0.560,1.400
1,9:46,1,10,CIN 37,7,0,Joe Mixon right tackle for 2 yards (tackle by Jamie Collins),1.400,1.130
1,9:09,2,8,CIN 39,7,0,Joe Mixon right end for 29 yards (tackle by Stephon Gilmore),1.130,3.450
1,8:19,1,10,NWE 32,7,0,Giovani Bernard left guard for 17 yards (tackle by Devin McCourty and Jamie Collins),3.450,4.580
1,7:37,1,10,NWE 15,7,0,Giovani Bernard right guard for 4 yards (tackle by Elandon Roberts and Danny Shelton),4.580,4.640
1,7:01,2,6,NWE 11,7,0,Giovani Bernard up the middle for 3 yards (tackle by Elandon Roberts),4.640,4.450
1,6:17,3,3,NWE 8,7,6,"Andy Dalton pass complete short right to Cethan Carter for 8 yards, touchdown",4.450,7.000
1,6:13,,,NWE 15,7,7,Randy Bullock kicks extra point good,0.000,0.000
1,6:13,,,CIN 35,7,7,"Randy Bullock kicks off 65 yards, returned by Brandon Bolden for 20 yards (tackle by Darius Phillips and Trayvon Henderson)",0.000,0.280
1,6:06,1,10,NWE 20,7,7,Sony Michel left guard for 2 yards (tackle by Germaine Pratt),0.280,0.000
1,5:30,2,8,NWE 22,7,7,Tom Brady pass incomplete short left intended for James White,0.000,-0.690
1,5:27,,,,,,Timeout #1 by Cincinnati Bengals,,
1,5:27,3,8,NWE 22,7,7,Tom Brady pass incomplete short middle intended for Julian Edelman,-0.690,-1.900
1,5:21,4,8,NWE 22,7,7,Jake Bailey punts 43 yards out of bounds,-1.900,-1.270
1,5:16,1,10,CIN 35,7,7,Joe Mixon right end for 13 yards (tackle by Deatrich Wise),1.270,2.130
1,4:40,1,10,CIN 48,7,7,Joe Mixon left end for 5 yards (tackle by Dont'a Hightower and Jamie Collins),2.130,2.260
1,4:02,2,5,NWE 47,7,7,Andy Dalton pass complete short right to Alex Erickson for 6 yards (tackle by J.C. Jackson),2.260,2.850
1,3:30,1,10,NWE 41,7,7,Joe Mixon up the middle for 5 yards (tackle by Deatrich Wise),2.850,2.980
1,2:51,2,5,NWE 36,7,7,Andy Dalton pass complete short middle to Tyler Eifert for 19 yards (tackle by Devin McCourty),2.980,4.440
1,2:10,1,10,NWE 17,7,7,Joe Mixon left tackle for 2 yards (tackle by Danny Shelton and Kyle Van Noy),4.440,4.150
1,1:28,2,8,NWE 15,7,7,"Penalty on Cethan Carter: False Start, 5 yards (no play)",4.150,3.490
1,1:05,2,13,NWE 20,7,7,Joe Mixon left guard for 4 yards (tackle by Adam Butler and Dont'a Hightower),3.490,3.190
1,0:22,3,9,NWE 16,7,7,Andy Dalton pass incomplete short right intended for Alex Erickson (defended by Stephon Gilmore),3.190,2.380
1,0:18,4,9,NWE 16,7,10,Randy Bullock 34 yard field goal good,2.380,3.000
1,0:14,,,CIN 35,7,10,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
1,0:14,1,10,NWE 25,7,10,Tom Brady pass incomplete short left,0.610,0.060
1,0:08,2,10,NWE 25,7,10,Tom Brady pass complete short middle to Mohamed Sanu for 7 yards (tackle by Jessie Bates),0.060,0.300
Quarter,Time,Down,ToGo,Location,NWE,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,NWE 32,7,10,"Penalty on Julian Edelman: False Start, 5 yards (no play)",0.300,-0.360
2,15:00,3,8,NWE 27,7,10,Tom Brady pass complete short right to N'Keal Harry for 8 yards (tackle by Nick Vigil),-0.360,1.270
2,14:21,1,10,NWE 35,7,10,Sony Michel right guard for 1 yard (tackle by Josh Tupou),1.270,0.860
2,13:42,2,9,NWE 36,7,10,N'Keal Harry left end for 12 yards (tackle by Germaine Pratt and William Jackson),0.860,2.130
2,13:14,1,10,NWE 48,7,10,Tom Brady pass incomplete deep left intended for Mohamed Sanu,2.130,1.580
2,13:10,2,10,NWE 48,7,10,Tom Brady pass complete short left to Julian Edelman for 11 yards (tackle by B.W. Webb),1.580,2.850
2,12:46,1,10,CIN 41,7,10,Rex Burkhead right guard for 2 yards (tackle by Germaine Pratt),2.850,2.580
2,12:01,2,8,CIN 39,7,10,Tom Brady pass complete short middle to James White for 4 yards (tackle by Shawn Williams),2.580,2.410
2,11:29,3,4,CIN 35,7,10,Tom Brady pass incomplete short right intended for Mohamed Sanu,2.410,0.980
2,11:24,,,,,,Timeout #1 by New England Patriots,,
2,11:24,4,4,CIN 35,7,10,Tom Brady pass incomplete short middle intended for Mohamed Sanu,0.980,-1.270
2,11:21,1,10,CIN 35,7,10,Joe Mixon right guard for 5 yards (tackle by Deatrich Wise),1.270,1.400
2,10:43,2,5,CIN 40,7,10,Andy Dalton pass complete short right to Cethan Carter for 5 yards (tackle by Jonathan Jones),1.400,1.930
2,10:07,1,10,CIN 45,7,10,"Andy Dalton pass incomplete short left. Penalty on John Simon: Defensive Holding, 5 yards (no play)",1.930,2.260
2,10:01,1,10,CIN 50,7,10,Andy Dalton pass complete short left to Joe Mixon for 11 yards (tackle by Stephon Gilmore),2.260,2.980
2,9:16,1,10,NWE 39,7,10,Joe Mixon left guard for 3 yards (tackle by Ja'Whaun Bentley and Deatrich Wise),2.980,2.850
2,8:36,2,7,NWE 36,7,10,Andy Dalton pass complete short middle to Joe Mixon for 5 yards (tackle by John Simon),2.850,2.810
2,7:56,3,2,NWE 31,7,10,Joe Mixon right guard for 1 yard (tackle by Ja'Whaun Bentley),2.810,1.520
2,7:14,4,1,NWE 30,7,10,Joe Mixon up the middle for no gain (tackle by Ja'Whaun Bentley and Danny Shelton),1.520,-1.000
2,7:09,1,10,NWE 31,7,10,Sony Michel right end for 6 yards (tackle by Germaine Pratt),1.000,1.270
2,6:39,2,4,NWE 37,7,10,Sony Michel right guard for 4 yards (tackle by Josh Tupou),1.270,1.660
2,6:00,1,10,NWE 41,7,10,"Tom Brady pass incomplete short right intended for Julian Edelman. Penalty on B.W. Webb: Defensive Holding, 5 yards (no play)",1.660,1.990
2,5:56,1,10,NWE 46,7,10,Sony Michel left guard for 12 yards (tackle by Nick Vigil),1.990,2.790
2,5:19,1,10,CIN 42,7,10,Tom Brady pass complete short middle to Matt LaCosse for 14 yards (tackle by Jessie Bates),2.790,3.710
2,4:41,1,10,CIN 28,7,10,Tom Brady pass incomplete short middle intended for Julian Edelman,3.710,3.170
2,4:38,2,10,CIN 28,7,10,Tom Brady pass incomplete short left intended for N'Keal Harry (defended by B.W. Webb),3.170,2.480
