Unnamed: 0,LAC,DEN
First Downs,20,23
Rush-Yds-TDs,17-72-0,33-147-2
Cmp-Att-Yd-TD-INT,28-44-303-2-2,15-25-155-1-1
Sacked-Yards,3-18,1-0
Net Pass Yards,285,155
Total Yards,357,302
Fumbles-Lost,0-0,1-0
Turnovers,2,1
Penalties-Yards,9-75,5-35
Third Down Conv.,7-14,8-11
Fourth Down Conv.,1-2,0-0
Time of Possession,30:23,29:37
