Quarter,Time,Tm,Detail,LAC,DEN
1.0,4:31,Broncos,Teddy Bridgewater 11 yard rush (Brandon McManus kick),0,7
2.0,12:46,Broncos,Javonte Williams 9 yard rush (Brandon McManus kick),0,14
,0:31,Chargers,Austin Ekeler 12 yard pass from Justin Herbert (Dustin Hopkins kick),7,14
4.0,8:54,Broncos,Eric Saubert 1 yard pass from Teddy Bridgewater (Brandon McManus kick),7,21
,7:28,Broncos,Patrick Surtain II 70 yard interception return (Brandon McManus kick),7,28
,4:34,Chargers,Jared Cook 16 yard pass from Justin Herbert (pass failed),13,28
