Quarter,Time,Tm,Detail,NWE,KAN
1.0,9:03,Chiefs,Larry Johnson 1 yard rush (Lawrence Tynes kick),0,7
2.0,13:54,Chiefs,Lawrence Tynes 25 yard field goal,0,10
,10:38,Chiefs,Lawrence Tynes 20 yard field goal,0,13
,6:52,Patriots,Adam Vinatieri 29 yard field goal,3,13
,1:51,Chiefs,Lawrence Tynes 33 yard field goal,3,16
,0:02,Chiefs,Lawrence Tynes 47 yard field goal,3,19
3.0,10:28,Chiefs,Dante Hall 52 yard pass from Trent Green (Lawrence Tynes kick),3,26
,4:21,Patriots,Patrick Pass 1 yard rush (Adam Vinatieri kick),10,26
4.0,10:03,Patriots,Christian Fauria 1 yard pass from Tom Brady (pass failed),16,26
