Unnamed: 0,NWE,KAN
First Downs,20,24
Rush-Yds-TDs,18-74-1,37-112-1
Cmp-Att-Yd-TD-INT,22-40-248-1-4,19-26-323-1-0
Sacked-Yards,3-16,2-15
Net Pass Yards,232,308
Total Yards,306,420
Fumbles-Lost,1-0,1-1
Turnovers,4,1
Penalties-Yards,2-22,5-35
Third Down Conv.,5-12,5-12
Fourth Down Conv.,1-1,0-0
Time of Possession,25:35,34:25
