Unnamed: 0,IND,SFO
First Downs,17,13
Rush-Yds-TDs,33-148-2,24-111-1
Cmp-Att-Yd-TD-INT,17-26-150-2-0,16-27-181-1-2
Sacked-Yards,1-3,2-12
Net Pass Yards,147,169
Total Yards,295,280
Fumbles-Lost,4-2,3-2
Turnovers,2,4
Penalties-Yards,6-45,7-122
Third Down Conv.,6-14,1-11
Fourth Down Conv.,1-1,0-0
Time of Possession,33:56,26:04
