Unnamed: 0,MIN,GNB
First Downs,14,23
Rush-Yds-TDs,22-104-1,31-90-1
Cmp-Att-Yd-TD-INT,16-34-190-0-1,25-32-288-4-0
Sacked-Yards,3-28,3-22
Net Pass Yards,162,266
Total Yards,266,356
Fumbles-Lost,1-0,3-1
Turnovers,1,1
Penalties-Yards,10-80,1-5
Third Down Conv.,5-14,7-13
Fourth Down Conv.,0-2,2-2
Time of Possession,26:42,33:18
