Quarter,Time,Down,ToGo,Location,MIN,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,MIN 20,0,0,Adrian Peterson up the middle for 2 yards (tackle by Morgan Burnett and Desmond Bishop),0.280,0.000
1,14:24,2,8,MIN 22,0,0,Christian Ponder pass complete short right to Percy Harvin for 6 yards (tackle by Charlie Peprah),0.000,0.100
1,14:04,3,2,MIN 28,0,0,Christian Ponder pass incomplete short left intended for Visanthe Shiancoe,0.100,-1.500
1,13:42,4,2,MIN 28,0,6,"Chris Kluwe punts 52 yards, returned by Randall Cobb for 80 yards, touchdown",-1.500,-7.000
1,,,,MIN 2,0,7,Mason Crosby kicks extra point good,0.000,0.000
1,,,,GNB 35,0,7,"Mason Crosby kicks off 65 yards, touchback",0.000,0.280
1,13:42,1,10,MIN 20,0,7,Adrian Peterson left tackle for 1 yard (tackle by Clay Matthews),0.280,-0.130
1,13:05,2,9,MIN 21,0,7,Adrian Peterson up the middle for 5 yards (tackle by A.J. Hawk and Morgan Burnett),-0.130,-0.160
1,12:27,3,4,MIN 26,0,7,Christian Ponder pass complete short right to Percy Harvin for 8 yards (tackle by Jarrett Bush and Charlie Peprah),-0.160,1.200
1,11:45,1,10,MIN 34,0,7,"Christian Ponder sacked by Clay Matthews for -7 yards. Christian Ponder fumbles (forced by Clay Matthews), recovered by Adrian Peterson at MIN-25",1.200,-0.560
1,11:03,2,19,MIN 25,0,7,Adrian Peterson left end for 3 yards (tackle by Charles Woodson),-0.560,-0.820
1,10:37,3,16,MIN 28,0,7,Christian Ponder pass complete short middle to Percy Harvin for 6 yards (tackle by Charles Woodson),-0.820,-1.110
1,10:03,4,10,MIN 34,0,7,"Chris Kluwe punts 36 yards, fair catch by Randall Cobb",-1.110,-0.940
1,9:55,1,10,GNB 30,0,7,"Aaron Rodgers sacked for -7 yards. Aaron Rodgers fumbles, recovered by Aaron Rodgers at GNB-23",0.940,-0.550
1,9:34,2,17,GNB 23,0,7,Aaron Rodgers for 9 yards (tackle by Asher Allen),-0.550,-0.030
1,9:02,3,8,GNB 32,0,7,Aaron Rodgers pass complete deep left to Donald Driver for 22 yards (tackle by Asher Allen),-0.030,2.520
1,8:28,1,10,MIN 46,0,7,Aaron Rodgers pass complete short right to Greg Jennings for 2 yards (tackle by Antoine Winfield),2.520,2.250
1,8:04,2,8,MIN 44,0,7,Ryan Grant right end for 1 yard (tackle by Chad Greenway and Christian Ballard),2.250,1.680
1,7:28,3,7,MIN 43,0,7,Aaron Rodgers pass complete short right to James Starks for 7 yards (tackle by Chad Greenway),1.680,3.180
1,6:49,1,10,MIN 36,0,7,Ryan Grant right guard for 2 yards (tackle by Christian Ballard and Jared Allen),3.180,2.910
1,6:20,2,8,MIN 34,0,7,Aaron Rodgers pass complete short right to Jordy Nelson for 7 yards (tackle by Cedric Griffin),2.910,3.140
1,5:41,3,1,MIN 27,0,7,Aaron Rodgers up the middle for 3 yards (tackle by Kevin Williams),3.140,3.970
1,5:11,1,10,MIN 24,0,7,Aaron Rodgers pass incomplete short left intended for Jermichael Finley (defended by Kevin Williams),3.970,3.430
1,5:07,2,10,MIN 24,0,13,"Aaron Rodgers pass complete deep middle to Greg Jennings for 24 yards, touchdown",3.430,7.000
1,,,,MIN 2,0,14,Mason Crosby kicks extra point good,0.000,0.000
1,,,,GNB 35,0,14,"Mason Crosby kicks off 65 yards, touchback",0.000,0.280
1,5:02,1,10,MIN 20,0,14,Joe Webb left end for 6 yards (tackle by Ryan Pickett),0.280,0.540
1,4:27,2,4,MIN 26,0,14,Christian Ponder pass incomplete intended for Devin Aromashodu (defended by Morgan Burnett),0.540,-0.160
1,4:21,3,4,MIN 26,0,14,Christian Ponder pass complete deep middle to Visanthe Shiancoe for 33 yards (tackle by Charlie Peprah),-0.160,2.850
1,3:43,1,10,GNB 41,0,14,Percy Harvin up the middle for 8 yards (tackle by Desmond Bishop),2.850,3.390
1,3:10,2,2,GNB 33,0,14,"Christian Ponder pass complete deep right to Percy Harvin for 31 yards (tackle by Tramon Williams). Penalty on Percy Harvin: Offensive Pass Interference, 10 yards (no play)",3.390,2.040
1,2:47,2,12,GNB 43,0,14,Adrian Peterson up the middle for 13 yards (tackle by A.J. Hawk and Charlie Peprah),2.040,3.580
1,2:05,1,10,GNB 30,0,14,Adrian Peterson up the middle for 1 yard (tackle by C.J. Wilson),3.580,3.170
1,1:31,2,9,GNB 29,0,14,Christian Ponder pass incomplete short middle intended for Adrian Peterson (defended by Desmond Bishop),3.170,2.480
1,1:25,3,9,GNB 29,0,14,Christian Ponder pass incomplete short left intended for Visanthe Shiancoe (defended by Charles Woodson),2.480,1.500
,,,,,,,"MIN challenged the incomplete pass ruling, and the original play was overturned.",,
1,1:18,4,9,GNB 29,0,14,"Penalty on Fred Evans: False Start, 5 yards (no play)",1.500,1.060
1,1:18,4,14,GNB 34,0,14,Ryan Longwell 52 yard field goal no good,1.060,-1.730
1,1:14,1,10,GNB 42,0,14,Aaron Rodgers pass complete deep right to Randall Cobb for 19 yards (tackle by Husain Abdullah),1.730,2.980
1,0:49,1,10,MIN 39,0,14,James Starks up the middle for -4 yards (tackle by Christian Ballard),2.980,1.900
1,0:11,2,14,MIN 43,0,14,Aaron Rodgers pass complete short right to Randall Cobb for 10 yards (tackle by Cedric Griffin),1.900,2.540
Quarter,Time,Down,ToGo,Location,MIN,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,MIN 33,0,14,"Penalty on Jermichael Finley: False Start, 5 yards (no play)",2.540,1.880
2,15:00,,,,0,14,Timeout #1 by Green Bay Packers,0.000,1.880
2,15:00,3,9,MIN 38,0,14,Aaron Rodgers up the middle for 4 yards (tackle by Jared Allen),1.880,1.070
2,14:16,4,5,MIN 34,0,14,Aaron Rodgers pass complete deep left to Jermichael Finley for 25 yards (tackle by Husain Abdullah),1.070,5.140
2,13:29,1,9,MIN 9,0,14,Aaron Rodgers sacked by Jared Allen for -9 yards,5.140,3.150
2,12:48,2,18,MIN 18,0,14,Aaron Rodgers pass incomplete short middle intended for Greg Jennings,3.150,2.630
2,12:44,3,18,MIN 18,0,14,Aaron Rodgers pass complete short middle to Jermichael Finley for 11 yards (tackle by Chad Greenway),2.630,2.970
2,12:08,4,7,MIN 7,0,17,Mason Crosby 25 yard field goal good,2.970,3.000
2,,,,GNB 35,0,17,"Mason Crosby kicks off 50 yards, returned by Ryan D'Imperio for 6 yards (tackle by Patrick Lee)",0.000,0.340
2,11:59,1,10,MIN 21,0,17,Christian Ponder pass complete short right to Ryan D'Imperio for 1 yard (tackle by Charles Woodson),0.340,-0.070
2,11:20,2,9,MIN 22,0,17,Christian Ponder pass complete short left to Kyle Rudolph for 8 yards (tackle by Morgan Burnett),-0.070,0.300
2,10:34,,,,0,17,Timeout #1 by Minnesota Vikings,0.000,0.300
2,10:34,3,1,MIN 30,0,17,Christian Ponder for 13 yards (tackle by Clay Matthews),0.300,1.800
2,9:55,1,10,MIN 43,0,17,Adrian Peterson left end for 6 yards (tackle by Erik Walden),1.800,2.060
2,9:19,2,4,MIN 49,0,17,Christian Ponder pass incomplete deep middle intended for Devin Aromashodu is intercepted by Tramon Williams at GNB-2 and returned for 21 yards (tackle by Jim Kleinsasser),2.060,-0.480
2,9:04,1,10,GNB 23,0,17,Ryan Grant left end for -1 yards (tackle by Jared Allen and Chad Greenway),0.480,-0.200
2,8:22,2,11,GNB 22,0,17,Aaron Rodgers left end for 3 yards (tackle by Letroy Guion),-0.200,-0.490
2,7:39,3,8,GNB 25,0,17,Aaron Rodgers pass complete short middle to Greg Jennings for 6 yards (tackle by Antoine Winfield),-0.490,-1.310
2,7:04,4,2,GNB 31,0,17,"Tim Masthay punts 52 yards, returned by Marcus Sherels for 8 yards (tackle by Patrick Lee)",-1.310,-0.610
2,6:53,1,10,MIN 25,0,17,Adrian Peterson right tackle for no gain (tackle by Charles Woodson),0.610,0.060
2,6:17,2,10,MIN 25,0,17,Adrian Peterson up the middle for 9 yards (tackle by C.J. Wilson and Morgan Burnett),0.060,0.560
2,5:40,3,1,MIN 34,0,17,Adrian Peterson left end for 6 yards (tackle by Erik Walden and Charles Woodson),0.560,1.600
2,5:13,1,10,MIN 40,0,17,Christian Ponder pass complete short left to Michael Jenkins for 19 yards (tackle by Desmond Bishop),1.600,2.850
2,4:34,1,10,GNB 41,0,17,"Toby Gerhart left end for 4 yards (tackle by Morgan Burnett). Penalty on Percy Harvin: Offensive Holding, 10 yards (no play)",2.850,2.190
2,4:12,1,20,MIN 49,0,17,Percy Harvin up the middle for -1 yards (tackle by C.J. Wilson),2.190,0.820
2,3:39,2,21,MIN 48,0,17,Christian Ponder pass incomplete short right intended for Devin Aromashodu,0.820,0.170
2,3:34,3,21,MIN 48,0,17,Christian Ponder pass complete short right to Percy Harvin for 12 yards (tackle by A.J. Hawk and Morgan Burnett),0.170,0.590
2,2:54,4,9,GNB 40,0,17,Chris Kluwe punts 37 yards,0.590,0.380
2,2:47,1,10,GNB 3,0,17,James Starks up the middle for 1 yard (tackle by E.J. Henderson),-0.380,-0.710
2,2:10,2,9,GNB 4,0,17,Aaron Rodgers pass incomplete,-0.710,-1.300
2,2:05,3,9,GNB 4,0,17,James Starks right tackle for 10 yards (tackle by Husain Abdullah),-1.300,-0.280
2,1:59,1,10,GNB 14,0,17,Aaron Rodgers pass complete short right to Donald Driver for 8 yards (tackle by Cedric Griffin),-0.280,0.420
2,1:59,2,2,GNB 22,0,17,"Penalty on Everson Griffen: Neutral Zone Infraction, 5 yards (no play)",0.420,0.740
2,1:55,1,10,GNB 27,0,17,Aaron Rodgers pass complete short right to James Starks for 2 yards (tackle by Cedric Griffin),0.740,0.470
2,1:49,2,8,GNB 29,0,17,Aaron Rodgers sacked by Antoine Winfield for -6 yards,0.470,-1.020
2,1:03,3,14,GNB 23,0,17,Aaron Rodgers pass complete short left to James Starks for 2 yards (tackle by Cedric Griffin),-1.020,-1.700
2,0:57,4,12,GNB 25,0,17,"Tim Masthay punts 47 yards, returned by Marcus Sherels for 5 yards (tackle by D.J. Smith)",-1.700,-1.140
2,0:44,1,10,MIN 33,0,17,Christian Ponder pass complete short middle to Percy Harvin for 9 yards (tackle by A.J. Hawk and Charlie Peprah),1.140,1.810
2,0:37,,,,0,17,Timeout #2 by Minnesota Vikings,0.000,1.810
2,0:37,2,1,MIN 42,0,17,Christian Ponder pass incomplete short left intended for Devin Aromashodu,1.810,1.090
2,0:33,3,1,MIN 42,0,17,Christian Ponder pass incomplete short left intended for Percy Harvin,1.090,-0.590
