Quarter,Time,Tm,Detail,MIN,GNB
1.0,2:16,Packers,Donald Driver 15 yard pass from Brett Favre (Ryan Longwell kick),0,7
2.0,1:04,Vikings,Dovonte Edwards 51 yard interception return (Paul Edinger kick),7,7
,0:26,Packers,Donald Driver 53 yard pass from Brett Favre (Ryan Longwell kick),7,14
3.0,0:46,Vikings,Ciatrick Fason 1 yard rush (Paul Edinger kick),14,14
4.0,10:13,Vikings,Paul Edinger 24 yard field goal,17,14
,3:03,Packers,Ryan Longwell 46 yard field goal,17,17
,0:00,Vikings,Paul Edinger 27 yard field goal,20,17
