Unnamed: 0,MIN,GNB
First Downs,22,13
Rush-Yds-TDs,37-160-1,14-21-0
Cmp-Att-Yd-TD-INT,18-30-196-0-1,20-33-227-2-2
Sacked-Yards,5-25,2-12
Net Pass Yards,171,215
Total Yards,331,236
Fumbles-Lost,2-1,1-0
Turnovers,2,2
Penalties-Yards,6-77,5-31
Third Down Conv.,6-15,2-10
Fourth Down Conv.,0-0,0-0
Time of Possession,37:33,22:27
