Quarter,Time,Down,ToGo,Location,TEN,PHI,Detail,EPB,EPA
1,6:57,1,10,TEN 40,0,7,Ryan Tannehill scrambles right end for 17 yards (tackle by T.J. Edwards),1.600,2.720
1,6:18,1,10,PHI 43,0,7,Derrick Henry left guard for 1 yard (tackle by Kyzir White),2.720,2.310
1,5:40,2,9,PHI 42,0,7,Ryan Tannehill pass complete short left to Derrick Henry for 2 yards (tackle by Josiah Scott),2.310,1.880
1,4:58,3,7,PHI 40,0,7,Ryan Tannehill pass incomplete deep left intended for Austin Hooper,1.880,0.590
1,4:53,4,7,PHI 40,0,7,Ryan Tannehill scrambles right end for 8 yards (tackle by Javon Hargrave),0.590,3.450
1,4:11,1,10,PHI 32,0,7,Ryan Tannehill pass complete short left to Derrick Henry for 6 yards (tackle by Linval Joseph and Kyzir White),3.450,3.710
1,3:27,2,4,PHI 26,0,7,Derrick Henry left tackle for 1 yard (tackle by Josh Sweat),3.710,3.140
1,2:53,3,3,PHI 25,6,7,"Ryan Tannehill pass complete deep middle to Treylon Burks for 25 yards, touchdown",3.140,7.000
1,2:47,,,PHI 15,7,7,Randy Bullock kicks extra point good,0.000,0.000
1,2:47,,,TEN 35,7,7,"Penalty on Marcus Epps: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.000,0.000
1,2:47,,,TEN 50,7,7,"Randy Bullock kicks off 46 yards, returned by Boston Scott for 11 yards (tackle by Joshua Kalu)",0.000,-0.220
1,2:42,1,10,PHI 15,7,7,Miles Sanders right guard for 4 yards (tackle by Kevin Strong and Monty Rice),-0.220,-0.110
1,2:06,2,6,PHI 19,7,7,"Penalty on Landon Dickerson: False Start, 5 yards (accepted) (no play)",-0.110,-0.820
1,1:50,2,11,PHI 14,7,7,Jalen Hurts pass complete short right to Quez Watkins for 16 yards (tackle by Roger McCreary),-0.820,0.940
1,1:14,1,10,PHI 30,7,7,"Jalen Hurts pass incomplete deep middle intended for Quez Watkins. Penalty on Isaac Seumalo: Offensive Holding, 10 yards (offset) . Penalty on Roger McCreary: Defensive Pass Interference, 15 yards (offset) (no play)",0.940,0.940
1,1:06,1,10,PHI 30,7,7,Jalen Hurts pass complete short right to A.J. Brown for 14 yards (tackle by Andrew Adams and Kevin Byard),0.940,1.860
1,0:21,1,10,PHI 44,7,7,Miles Sanders left end for no gain (tackle by David Long) (no play),1.860,1.530
Quarter,Time,Down,ToGo,Location,TEN,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,15,PHI 39,7,7,"Jalen Hurts pass complete short right to DeVonta Smith for 9 yards (tackle by Kristian Fulton) TEN challenged the pass completion ruling, and the original play was overturned. Jalen Hurts pass incomplete short right intended for DeVonta Smith",1.530,0.640
2,14:54,2,15,PHI 39,7,7,Jalen Hurts pass complete deep middle to Jack Stoll for 26 yards (tackle by Amani Hooker),0.640,3.250
2,14:26,1,10,TEN 35,7,7,"Penalty on Jack Stoll: False Start, 5 yards (accepted) (no play)",3.250,2.920
2,14:05,1,15,TEN 40,7,7,"Jalen Hurts pass complete to A.J. Brown for no gain, touchdown Replay Assistant challenged the runner was in bounds ruling, and the original play was overturned. Jalen Hurts pass incomplete deep right intended for A.J. Brown",2.920,2.030
2,14:03,2,15,TEN 40,7,13,"Jalen Hurts pass complete deep left to A.J. Brown for 40 yards, touchdown. Penalty on Kristian Fulton: Defensive Pass Interference, 15 yards (declined)",2.030,7.000
2,13:55,,,TEN 15,7,14,Jake Elliott kicks extra point good,0.000,0.000
2,13:55,,,PHI 35,7,14,"Jake Elliott kicks off 63 yards, returned by C.J. Board for 21 yards (tackle by Shaun Bradley)",0.000,0.480
2,13:49,1,10,TEN 23,7,14,Ryan Tannehill pass incomplete deep left intended for Robert Woods (defended by James Bradberry),0.480,-0.070
2,13:44,2,10,TEN 23,7,14,Ryan Tannehill pass complete short left to Dontrell Hilliard for 4 yards (tackle by Kyzir White),-0.070,-0.230
2,13:01,3,6,TEN 27,7,14,Ryan Tannehill sacked by Fletcher Cox for -1 yards,-0.230,-1.630
2,12:24,4,7,TEN 26,7,14,"Ryan Stonehouse punts 51 yards, returned by Britain Covey for 20 yards (tackle by Dylan Cole and Kevin Rader)",-1.630,-1.800
2,12:13,1,10,PHI 43,7,14,"Jalen Hurts sacked by Mario Edwards for -3 yards. Penalty on Mario Edwards: Personal Foul / Defense, 15 yards (accepted)",1.800,2.590
2,11:45,1,10,TEN 45,7,14,Jalen Hurts pass complete short right to Miles Sanders for 6 yards (tackle by Kevin Byard),2.590,2.850
2,11:13,2,4,TEN 39,7,14,Jalen Hurts pass incomplete short left,2.850,2.150
2,11:05,3,4,TEN 39,7,14,"Jalen Hurts left end for no gain (tackle by David Long). Penalty on Jason Kelce: Offensive Holding, 10 yards (accepted) (no play)",2.150,0.830
2,10:46,3,14,TEN 49,7,14,"Jalen Hurts pass incomplete short left intended for A.J. Brown. Penalty on Bud Dupree: Roughing the Passer, 15 yards (accepted) (no play)",0.830,3.310
2,10:41,1,10,TEN 34,7,14,Jalen Hurts pass incomplete short left intended for Kenneth Gainwell (defended by Jeffery Simmons),3.310,2.770
2,10:37,2,10,TEN 34,7,14,Jalen Hurts pass complete short middle to Quez Watkins for 1 yard (tackle by Andrew Adams),2.770,2.210
2,10:00,3,9,TEN 33,7,14,"Penalty on Jordan Mailata: False Start, 5 yards (accepted) (no play)",2.210,1.550
2,9:39,3,14,TEN 38,7,14,"Jalen Hurts sacked by Bud Dupree for -2 yards. Jalen Hurts fumbles (forced by Bud Dupree), recovered by Jordan Mailata at TEN-40",1.550,0.590
2,8:53,4,16,TEN 40,7,14,"Arryn Siposs punts 27 yards, fair catch by C.J. Board at TEN-13",0.590,0.320
2,8:49,1,10,TEN 13,7,14,Derrick Henry right tackle for 6 yards (tackle by T.J. Edwards and Linval Joseph),-0.320,0.030
2,8:08,2,4,TEN 19,7,14,Ryan Tannehill scrambles left end for 9 yards (tackle by T.J. Edwards),0.030,0.810
2,7:29,1,10,TEN 28,7,14,Derrick Henry up the middle for 5 yards (tackle by James Bradberry),0.810,0.940
2,6:50,2,5,TEN 33,7,14,Ryan Tannehill pass incomplete short left intended for Chigoziem Okonkwo (defended by James Bradberry),0.940,0.230
2,6:48,3,5,TEN 33,7,14,Ryan Tannehill pass complete short left to Austin Hooper for 9 yards (tackle by Zech McPhearson),0.230,1.730
2,6:10,1,10,TEN 42,7,14,Ryan Tannehill pass complete deep right to Chigoziem Okonkwo for 41 yards (tackle by T.J. Edwards),1.730,4.440
2,5:23,1,10,PHI 17,7,14,Ryan Tannehill pass incomplete short right intended for Derrick Henry (defended by Kyzir White),4.440,3.850
2,5:11,2,10,PHI 17,7,14,Ryan Tannehill pass complete short right to Austin Hooper for 9 yards (tackle by Darius Slay),3.850,4.800
2,4:40,3,1,PHI 8,7,14,"Penalty on Dennis Daley: False Start, 5 yards (accepted) (no play)",4.800,3.680
2,4:20,3,6,PHI 13,7,14,Ryan Tannehill sacked by Josh Sweat for -5 yards,3.680,2.250
2,3:32,4,11,PHI 18,10,14,Randy Bullock 36 yard field goal good,2.250,3.000
2,3:28,,,TEN 35,10,14,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
2,3:28,1,10,PHI 25,10,14,Jalen Hurts pass complete short right to Miles Sanders for 8 yards (tackle by Amani Hooker),0.610,1.140
2,3:00,2,2,PHI 33,10,14,Jalen Hurts pass complete short left to Quez Watkins for 6 yards (tackle by Tre Avery),1.140,1.530
2,2:27,1,10,PHI 39,10,14,Jalen Hurts pass complete short middle to Jack Stoll for 8 yards (tackle by Jeffery Simmons and Amani Hooker),1.530,2.070
2,2:00,2,2,PHI 47,10,14,Kenneth Gainwell right guard for 13 yards (tackle by Andrew Adams and Kevin Byard),2.070,2.920
2,1:31,1,10,TEN 40,10,14,Jalen Hurts pass complete short left to Kenneth Gainwell for 10 yards (tackle by Joe Schobert),2.920,3.580
2,1:11,1,10,TEN 30,10,14,"Jalen Hurts pass incomplete deep left intended for A.J. Brown. Penalty on Tre Avery: Defensive Pass Interference, 24 yards (accepted) (no play)",3.580,5.830
2,1:02,1,6,TEN 6,10,14,Jalen Hurts up the middle for 4 yards (tackle by Kevin Byard),5.830,5.720
2,0:56,,,,,,Timeout #1 by Tennessee Titans,,
2,0:56,2,2,TEN 2,10,20,"Jalen Hurts right end for 2 yards, touchdown",5.720,7.000
2,0:51,,,TEN 15,10,21,Jake Elliott kicks extra point good,0.000,0.000
2,0:51,,,PHI 35,10,21,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
2,0:51,1,10,TEN 25,10,21,Ryan Tannehill pass incomplete short middle intended for Austin Hooper (defended by Reed Blankenship),0.610,0.060
2,0:47,2,10,TEN 25,10,21,Ryan Tannehill pass incomplete short right intended for Robert Woods (defended by Josiah Scott),0.060,-0.620
2,0:39,3,10,TEN 25,10,21,Ryan Tannehill pass complete short left to Robert Woods for 6 yards (tackle by Reed Blankenship),-0.620,-1.310
2,0:35,,,,,,Timeout #2 by Philadelphia Eagles,,
2,0:35,4,4,TEN 31,10,21,"Ryan Stonehouse punts 59 yards, returned by Britain Covey for 16 yards (tackle by Dylan Cole)",-1.310,-0.670
2,0:26,1,10,PHI 26,10,21,Jalen Hurts pass complete short middle to Kenneth Gainwell for 14 yards (tackle by Bud Dupree),0.670,1.600
2,0:19,,,,,,Timeout #3 by Philadelphia Eagles,,
2,0:19,1,10,PHI 40,10,21,Jalen Hurts pass complete short left to Boston Scott for 5 yards (tackle by Amani Hooker),1.600,1.730
2,0:14,2,5,PHI 45,10,21,Jalen Hurts pass incomplete deep left intended for A.J. Brown,1.730,1.030
2,0:09,,,,,,Timeout #2 by Tennessee Titans,,
2,0:09,3,5,PHI 45,10,21,Boston Scott left end for 4 yards (tackle by Amani Hooker),1.030,-0.130
2,0:03,,,,,,Timeout #3 by Tennessee Titans,,
2,0:03,4,1,PHI 49,10,21,Jalen Hurts pass complete short right to DeVonta Smith for 34 yards (tackle by Joe Schobert),-0.130,4.440
Quarter,Time,Down,ToGo,Location,TEN,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 35,10,21,"Jake Elliott kicks off 62 yards, returned by C.J. Board for 19 yards (tackle by Nakobe Dean)",0.000,0.410
3,14:54,1,10,TEN 22,10,21,Derrick Henry right tackle for 2 yards (tackle by Darius Slay and Fletcher Cox),0.410,0.140
3,14:15,2,8,TEN 24,10,21,"Ryan Tannehill pass incomplete short left intended for Robert Woods (defended by T.J. Edwards) PHI challenged the pass completion ruling, and the play was upheld.",0.140,-0.560
3,14:11,3,8,TEN 24,10,21,Ryan Tannehill sacked by and Haason Reddick for -9 yards and Josh Sweat for -9 yards,-0.560,-2.440
3,13:42,4,17,TEN 15,10,21,"Ryan Stonehouse punts 62 yards, returned by Britain Covey for 27 yards (tackle by Chigoziem Okonkwo)",-2.440,-2.260
3,13:29,1,10,TEN 50,10,21,Jalen Hurts pass complete short right to DeVonta Smith for 9 yards (tackle by Andrew Adams),2.260,2.930
3,12:59,2,1,TEN 41,10,21,Jalen Hurts pass complete short middle to A.J. Brown for 5 yards (tackle by Roger McCreary),2.930,3.180
3,12:38,1,10,TEN 36,10,21,Jalen Hurts pass complete short middle to Jack Stoll for 7 yards (tackle by Monty Rice),3.180,3.580
3,12:14,2,3,TEN 29,10,27,"Jalen Hurts pass complete deep left to A.J. Brown for 29 yards, touchdown",3.580,7.000
3,12:07,,,TEN 15,10,28,Jake Elliott kicks extra point good,0.000,0.000
3,12:07,,,PHI 35,10,28,"Jake Elliott kicks off 64 yards, returned by C.J. Board for 22 yards (tackle by Shaun Bradley)",0.000,0.480
3,12:02,1,10,TEN 23,10,28,Ryan Tannehill pass complete short right to Chigoziem Okonkwo for 11 yards (tackle by Marcus Epps),0.480,1.200
3,11:38,1,10,TEN 34,10,28,Derrick Henry right guard for 2 yards (tackle by Ndamukong Suh and Brandon Graham),1.200,0.930
3,11:08,2,8,TEN 36,10,28,Ryan Tannehill sacked by Brandon Graham for -6 yards,0.930,-0.560
3,10:24,3,14,TEN 30,10,28,Dontrell Hilliard left guard for 2 yards (tackle by Brandon Graham and Ndamukong Suh),-0.560,-1.240
3,9:47,4,12,TEN 32,10,28,"Ryan Stonehouse punts 56 yards, returned by Britain Covey for 25 yards (tackle by Chigoziem Okonkwo)",-1.240,-1.400
3,9:36,1,10,PHI 37,10,28,Miles Sanders right tackle for -2 yards (tackle by Rashad Weaver),1.400,0.590
3,9:02,2,12,PHI 35,10,28,"Jalen Hurts pass incomplete short right. Penalty on Lane Johnson: Offensive Holding, 10 yards (declined)",0.590,-0.100
3,8:54,3,12,PHI 35,10,28,Jalen Hurts pass incomplete deep left intended for DeVonta Smith (defended by Tre Avery),-0.100,-1.040
3,8:47,4,12,PHI 35,10,28,"Arryn Siposs punts 46 yards, returned by C.J. Board for 10 yards (tackle by Shaun Bradley and Andre Chachere)",-1.040,-0.870
3,8:37,1,10,TEN 29,10,28,Derrick Henry right tackle for 3 yards (tackle by T.J. Edwards and Javon Hargrave),0.870,0.730
3,8:07,2,7,TEN 32,10,28,"Derrick Henry left tackle for 2 yards (tackle by Nakobe Dean). Penalty on Nate Davis: Offensive Holding, 10 yards (accepted)",0.730,-0.350
3,7:42,2,15,TEN 24,10,28,Ryan Tannehill pass complete short right to Geoff Swaim for 4 yards (tackle by Nakobe Dean),-0.350,-0.490
3,7:05,3,11,TEN 28,10,28,Ryan Tannehill sacked by and Josh Sweat for -9 yards and Haason Reddick for -9 yards,-0.490,-2.140
3,6:29,4,20,TEN 19,10,28,"Ryan Stonehouse punts 55 yards, returned by Britain Covey for 6 yards (tackle by Joseph Jones)",-2.140,-1.070
3,6:18,1,10,PHI 32,10,28,Jalen Hurts pass complete short left to A.J. Brown for 7 yards (tackle by Tre Avery),1.070,1.470
3,5:43,2,3,PHI 39,10,28,Miles Sanders left guard for 4 yards (tackle by Joe Schobert),1.470,1.800
3,5:02,1,10,PHI 43,10,28,Jalen Hurts pass complete short left to A.J. Brown for 11 yards (tackle by Andrew Adams),1.800,2.520
3,4:21,1,10,TEN 46,10,28,"Jalen Hurts left end for no gain (tackle by Joe Schobert). Penalty on Landon Dickerson: Offensive Holding, 10 yards (accepted) (no play)",2.520,1.860
3,3:51,1,20,PHI 44,10,28,Jalen Hurts pass complete deep left to Grant Calcaterra for 19 yards (tackle by Kevin Byard),1.860,3.190
3,3:23,2,1,TEN 37,10,28,Miles Sanders up the middle for no gain (tackle by Mario Edwards),3.190,2.480
3,2:46,3,1,TEN 37,10,28,Miles Sanders left tackle for 2 yards (tackle by Dylan Cole),2.480,3.250
3,2:07,1,10,TEN 35,10,28,Jalen Hurts pass complete short middle to Quez Watkins for 11 yards (tackle by Kevin Byard),3.250,3.970
3,1:31,1,10,TEN 24,10,28,Jalen Hurts pass complete short left to Quez Watkins for 3 yards (tackle by Dylan Cole),3.970,3.840
3,0:44,2,7,TEN 21,10,28,Jalen Hurts pass complete short left to A.J. Brown for 6 yards (tackle by Tre Avery),3.840,4.170
3,0:01,3,1,TEN 15,10,28,"Penalty on Jalen Hurts: False Start, 5 yards (accepted) (no play)",4.170,3.270
Quarter,Time,Down,ToGo,Location,TEN,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,6,TEN 20,10,28,Jalen Hurts pass complete short left to Zach Pascal for 5 yards (tackle by Roger McCreary),3.270,2.590
4,14:34,4,1,TEN 15,10,28,Jalen Hurts up the middle for 2 yards (tackle by Joe Schobert),2.590,4.710
4,13:53,1,10,TEN 13,10,28,Miles Sanders left tackle for 5 yards (tackle by Kevin Byard and Tre Avery),4.710,4.960
4,13:12,2,5,TEN 8,10,28,Miles Sanders up the middle for 1 yard (tackle by Larrell Murchison and Rashad Weaver),4.960,4.330
4,12:29,3,4,TEN 7,10,28,Jalen Hurts pass incomplete short left,4.330,2.990
4,12:24,4,4,TEN 7,10,28,"Jake Elliott yard field goal good. Penalty on Jeffery Simmons: Defensive Offside, 3 yards (accepted) (no play)",2.990,3.040
4,12:21,4,1,TEN 4,10,28,Jalen Hurts up the middle for 1 yard (tackle by Monty Rice and DeMarcus Walker),3.040,6.510
4,11:32,1,3,TEN 3,10,34,"Miles Sanders up the middle for 3 yards, touchdown",6.510,7.000
4,11:27,,,TEN 15,10,35,Jake Elliott kicks extra point good,0.000,0.000
4,11:27,,,PHI 35,10,35,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
4,11:27,1,10,TEN 25,10,35,Ryan Tannehill pass complete short left to Chigoziem Okonkwo for 10 yards (tackle by Reed Blankenship),0.610,1.270
4,11:01,1,10,TEN 35,10,35,"Derrick Henry right end for no gain (tackle by Kyzir White and Marcus Epps). Penalty on Ben Jones: Offensive Holding, 10 yards (accepted) (no play)",1.270,0.610
4,10:33,1,20,TEN 25,10,35,Ryan Tannehill pass complete short middle to Austin Hooper for 4 yards (tackle by Kyzir White),0.610,-0.090
4,10:08,2,16,TEN 29,10,35,Ryan Tannehill pass complete short left to Chigoziem Okonkwo for 6 yards (tackle by Nakobe Dean),-0.090,0.040
4,9:57,3,10,TEN 35,10,35,Ryan Tannehill pass incomplete short right,0.040,-1.040
4,9:52,4,10,TEN 35,10,35,Ryan Stonehouse punts 61 yards downed by C.J. Board,-1.040,0.380
4,9:40,1,10,PHI 4,10,35,Kenneth Gainwell right guard for -1 yards (tackle by Mario Edwards),-0.380,-0.850
4,8:57,2,11,PHI 3,10,35,Boston Scott left end for 1 yard (tackle by Tre Avery),-0.850,-1.420
4,8:10,3,10,PHI 4,10,35,Gardner Minshew pass incomplete short left intended for Zach Pascal (defended by Tre Avery),-1.420,-2.490
4,8:05,4,10,PHI 4,10,35,"Arryn Siposs punts 47 yards, returned by C.J. Board for 19 yards (tackle by Rick Lovato)",-2.490,-3.450
4,7:55,1,10,PHI 32,10,35,Julius Chestnut right end for 1 yard (tackle by Ndamukong Suh),3.450,3.040
4,7:33,2,9,PHI 31,10,35,Malik Willis pass complete short right to C.J. Board for 6 yards (tackle by Josiah Scott),3.040,3.140
4,6:55,3,3,PHI 25,10,35,Malik Willis right end for 8 yards (tackle by K'Von Wallace),3.140,4.440
4,6:19,1,10,PHI 17,10,35,Malik Willis pass incomplete short middle intended for Nick Westbrook-Ikhine,4.440,3.850
4,6:15,2,10,PHI 17,10,35,Julius Chestnut up the middle for -2 yards (tackle by Nakobe Dean),3.850,2.910
4,5:39,3,12,PHI 19,10,35,Malik Willis pass incomplete short left intended for Robert Woods,2.910,2.180
4,5:35,4,12,PHI 19,10,35,Malik Willis pass complete short left to Dontrell Hilliard for 10 yards (tackle by Christian Elliss),2.180,0.380
4,5:25,1,10,PHI 9,10,35,Kenneth Gainwell left guard for 3 yards (tackle by Olasunkanmi Adeniyi),-0.380,-0.560
4,4:43,2,7,PHI 12,10,35,Boston Scott left end for -2 yards (tackle by Monty Rice),-0.560,-1.300
4,3:59,3,9,PHI 10,10,35,Gardner Minshew pass complete short left to Zach Pascal for 11 yards (tackle by Tre Avery),-1.300,0.340
4,3:15,1,10,PHI 21,10,35,Boston Scott right guard for 4 yards (tackle by Joshua Kalu and Joe Schobert),0.340,0.340
4,2:30,2,6,PHI 25,10,35,Boston Scott right guard for 5 yards (tackle by Monty Rice and Amani Hooker),0.340,0.300
4,2:00,3,1,PHI 30,10,35,"Penalty on Landon Dickerson: False Start, 5 yards (accepted) (no play)",0.300,-0.360
4,2:00,3,6,PHI 25,10,35,"Boston Scott right end for 4 yards (tackle by Monty Rice). Penalty on Landon Dickerson: Offensive Holding, 10 yards (declined)",-0.360,-1.440
4,1:51,4,2,PHI 29,10,35,"Arryn Siposs punts 48 yards, returned by C.J. Board for 4 yards (tackle by Christian Elliss)",-1.440,-0.740
4,1:42,1,10,TEN 27,10,35,Julius Chestnut left guard for 4 yards (tackle by Christian Elliss),0.740,0.740
4,1:07,2,6,TEN 31,10,35,Julius Chestnut right guard for 5 yards (tackle by Christian Elliss),0.740,0.700
4,0:29,3,1,TEN 36,10,35,Julius Chestnut right tackle for 5 yards (tackle by Nakobe Dean and Andre Chachere),0.700,1.660
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
