Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Derrick Henry,TEN,11,30,0,,27,2.5,3,0.3,0,
Julius Chestnut,TEN,5,13,0,1,7,1.4,6,1.2,1,5.0
Ryan Tannehill,TEN,3,34,0,3,34,11.3,0,0.0,0,
Dontrell Hilliard,TEN,1,2,0,,1,1.0,1,1.0,0,
Malik Willis,TEN,1,8,0,1,0,0.0,8,8.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Miles Sanders,PHI,10,24,1,3,11,1.1,13,1.3,0,
Boston Scott,PHI,6,16,0,,10,1.7,6,1.0,0,
Jalen Hurts,PHI,5,12,1,3,9,1.8,3,0.6,0,
Kenneth Gainwell,PHI,3,15,0,1,13,4.3,2,0.7,0,
