Unnamed: 0,DAL,SEA
First Downs,14,19
Rush-Yds-TDs,26-116-0,32-92-0
Cmp-Att-Yd-TD-INT,17-29-189-1-0,18-36-240-2-2
Sacked-Yards,2-21,0-0
Net Pass Yards,168,240
Total Yards,284,332
Fumbles-Lost,4-1,1-0
Turnovers,1,2
Penalties-Yards,8-74,3-15
Third Down Conv.,3-13,4-15
Fourth Down Conv.,1-2,2-3
Time of Possession,28:23,31:37
