Quarter,Time,Tm,Detail,DAL,SEA
1.0,11:13,Seahawks,Josh Brown 23 yard field goal,0,3
,4:50,Cowboys,Martin Gramatica 50 yard field goal,3,3
2.0,8:23,Seahawks,Josh Brown 30 yard field goal,3,6
,0:11,Cowboys,Patrick Crayton 13 yard pass from Tony Romo (Martin Gramatica kick),10,6
3.0,6:08,Seahawks,Jerramy Stevens 15 yard pass from Matt Hasselbeck (Josh Brown kick),10,13
,5:57,Cowboys,Miles Austin 93 yard kickoff return (Martin Gramatica kick),17,13
4.0,10:15,Cowboys,Martin Gramatica 29 yard field goal,20,13
,6:32,Seahawks,"Safety,",20,15
,4:24,Seahawks,Jerramy Stevens 37 yard pass from Matt Hasselbeck (pass failed),20,21
