Unnamed: 0,LAC,OAK
First Downs,20,15
Rush-Yds-TDs,28-80-1,22-109-1
Cmp-Att-Yd-TD-INT,25-36-268-1-0,21-30-171-1-2
Sacked-Yards,1-5,1-6
Net Pass Yards,263,165
Total Yards,343,274
Fumbles-Lost,1-1,3-0
Turnovers,1,2
Penalties-Yards,4-32,5-40
Third Down Conv.,6-14,6-12
Fourth Down Conv.,1-2,0-1
Time of Possession,32:03,27:57
