Unnamed: 0,GNB,CHI
First Downs,25,17
Rush-Yds-TDs,34-160-1,24-121-2
Cmp-Att-Yd-TD-INT,25-39-318-2-2,15-24-226-2-1
Sacked-Yards,3-5,1-2
Net Pass Yards,313,224
Total Yards,473,345
Fumbles-Lost,2-0,2-1
Turnovers,2,2
Penalties-Yards,1-15,5-40
Third Down Conv.,9-18,5-10
Fourth Down Conv.,3-3,0-0
Time of Possession,35:09,24:51
