Quarter,Time,Down,ToGo,Location,GNB,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 61 yards, returned by Devin Hester for 39 yards (tackle by Mason Crosby). Penalty on Victor Aiyewa: Unnecessary Roughness, 15 yards",0.000,-2.790
1,14:53,1,10,GNB 42,0,0,Jay Cutler pass complete short right to Brandon Marshall for 3 yards (tackle by Mike Neal),2.790,2.650
1,14:10,2,7,GNB 39,0,0,Matt Forte right guard for 4 yards (tackle by Ryan Pickett),2.650,2.480
1,13:28,3,3,GNB 35,0,0,Jay Cutler pass incomplete short right intended for Alshon Jeffery (defended by Tramon Williams),2.480,0.990
1,13:23,4,3,GNB 35,0,0,"Adam Podlesh punts 35 yards, touchback",0.990,-0.280
,,,,,,,"CHI challenged the touchback ruling, and the play was upheld.",,
1,13:13,1,10,GNB 20,0,0,Eddie Lacy left end for 14 yards (tackle by James Anderson),0.280,1.200
1,12:50,1,10,GNB 34,0,0,Aaron Rodgers pass complete short left to Jarrett Boykin for 5 yards (tackle by Zackary Bowman),1.200,1.330
1,12:11,2,5,GNB 39,0,0,Aaron Rodgers pass complete short left to Andrew Quarless for 9 yards (tackle by Zackary Bowman),1.330,2.130
1,11:42,1,10,GNB 48,0,0,Eddie Lacy left tackle for 7 yards (tackle by Jay Ratliff),2.130,2.530
1,11:14,2,3,CHI 45,0,0,Eddie Lacy left tackle for no gain (tackle by Corey Wootton),2.530,2.530
1,10:26,2,3,CHI 45,0,0,Timeout #1 by Green Bay Packers,2.530,1.820
1,10:26,3,3,CHI 45,0,0,Aaron Rodgers pass complete short right to Jordy Nelson for 14 yards (tackle by Isaiah Frey),1.820,3.510
1,9:56,1,10,CHI 31,0,0,Eddie Lacy left end for 6 yards (tackle by Isaiah Frey),3.510,3.780
1,9:13,2,4,CHI 25,0,0,Aaron Rodgers pass incomplete short middle intended for James Starks,3.780,3.070
1,9:10,3,4,CHI 25,0,0,"Aaron Rodgers pass incomplete short middle intended for Jordy Nelson. Penalty on Isaiah Frey: Defensive Holding, 5 yards (no play)",3.070,4.240
1,9:06,1,10,CHI 20,0,0,Aaron Rodgers pass complete short right to Jordy Nelson for 2 yards,4.240,3.960
1,8:42,2,8,CHI 18,0,0,Aaron Rodgers pass complete short left to Jarrett Boykin for 3 yards (tackle by Julius Peppers),3.960,3.700
1,7:55,3,5,CHI 15,0,0,Aaron Rodgers pass complete short right to Jordy Nelson for 6 yards (tackle by James Anderson),3.700,5.140
1,7:19,1,9,CHI 9,0,0,Eddie Lacy right end for 4 yards (tackle by David Bass),5.140,5.150
1,6:35,2,5,CHI 5,0,0,Aaron Rodgers sacked by James Anderson for 0 yards,5.150,4.260
1,5:50,3,5,CHI 5,0,0,Aaron Rodgers pass incomplete short right intended for Jarrett Boykin is intercepted by Chris Conte at CHI--3,4.260,-0.280
1,5:43,1,10,CHI 20,0,0,Jay Cutler pass incomplete short right intended for Brandon Marshall,0.280,-0.270
1,5:40,2,10,CHI 20,0,0,Jay Cutler pass complete short right to Brandon Marshall for 13 yards (tackle by M.D. Jennings),-0.270,1.140
1,5:00,1,10,CHI 33,0,0,Matt Forte right tackle for 20 yards (tackle by M.D. Jennings),1.140,2.460
1,4:20,1,10,GNB 47,0,0,Matt Forte left end for 2 yards (tackle by Andy Mulumba),2.460,2.180
1,3:34,2,8,GNB 45,0,0,Jay Cutler pass complete deep left to Brandon Marshall for 37 yards (tackle by M.D. Jennings),2.180,5.370
1,2:59,1,8,GNB 8,0,0,Jay Cutler pass incomplete short left intended for Brandon Marshall,5.370,4.570
1,2:53,2,8,GNB 8,0,0,Matt Forte left guard for 4 yards (tackle by B.J. Raji),4.570,4.490
1,2:12,3,4,GNB 4,0,6,"Jay Cutler pass complete short left to Matt Forte for 4 yards, touchdown",4.490,7.000
1,2:12,,,GNB 2,0,7,Robbie Gould kicks extra point good,0.000,0.000
1,2:12,,,CHI 35,0,7,"Robbie Gould kicks off 68 yards, returned by Kahlil Bell for 22 yards (tackle by Cheta Ozougwu)",0.000,-0.150
1,2:00,1,10,GNB 19,0,7,James Starks left end for 2 yards (tackle by Julius Peppers),0.150,-0.060
1,1:31,2,8,GNB 21,0,7,Aaron Rodgers pass complete short right to James Starks for 7 yards (tackle by James Anderson),-0.060,0.100
1,0:46,3,1,GNB 28,0,7,James Starks left tackle for 9 yards (tackle by James Anderson),0.100,1.400
1,0:20,1,10,GNB 37,0,7,James Starks left tackle for 5 yards (tackle by Major Wright),1.400,1.530
Quarter,Time,Down,ToGo,Location,GNB,CHI,Detail,EPB,EPA
