Unnamed: 0,DAL,PHI
First Downs,21,22
Rush-Yds-TDs,26-134-1,39-136-1
Cmp-Att-Yd-TD-INT,18-38-181-1-3,15-25-155-2-0
Sacked-Yards,0-0,4-23
Net Pass Yards,181,132
Total Yards,315,268
Fumbles-Lost,0-0,1-0
Turnovers,3,0
Penalties-Yards,10-72,2-10
Third Down Conv.,4-10,6-14
Fourth Down Conv.,0-1,1-1
Time of Possession,25:30,34:30
