Quarter,Time,Tm,Detail,DAL,PHI
2.0,14:55,Eagles,Miles Sanders 5 yard rush (Jake Elliott kick),0,7
,10:40,Eagles,A.J. Brown 15 yard pass from Jalen Hurts (Jake Elliott kick),0,14
,7:53,Eagles,Jake Elliott 51 yard field goal,0,17
,1:47,Eagles,Jake Elliott 34 yard field goal,0,20
,0:29,Cowboys,Brett Maher 30 yard field goal,3,20
3.0,8:19,Cowboys,Ezekiel Elliott 14 yard rush (Brett Maher kick),10,20
4.0,14:39,Cowboys,Jake Ferguson 7 yard pass from Cooper Rush (Brett Maher kick),17,20
,7:02,Eagles,DeVonta Smith 7 yard pass from Jalen Hurts (run failed),17,26
