Unnamed: 0,CHI,TEN
First Downs,22,11
Rush-Yds-TDs,20-56-0,31-92-0
Cmp-Att-Yd-TD-INT,36-52-335-2-0,10-21-158-2-0
Sacked-Yards,3-16,3-22
Net Pass Yards,319,136
Total Yards,375,228
Fumbles-Lost,3-2,0-0
Turnovers,2,0
Penalties-Yards,5-35,6-57
Third Down Conv.,2-15,6-15
Fourth Down Conv.,3-4,0-0
Time of Possession,33:54,26:06
