Quarter,Time,Tm,Detail,CHI,TEN
1.0,4:22,Titans,Stephen Gostkowski 40 yard field goal,0,3
2.0,4:39,Titans,A.J. Brown 40 yard pass from Ryan Tannehill (Stephen Gostkowski kick),0,10
3.0,4:41,Titans,Desmond King 63 yard fumble return (Stephen Gostkowski kick),0,17
4.0,12:30,Bears,Cairo Santos 22 yard field goal,3,17
,8:10,Titans,Jonnu Smith 2 yard pass from Ryan Tannehill (Stephen Gostkowski kick),3,24
,5:06,Bears,Ryan Nall 6 yard pass from Nick Foles (Cairo Santos kick),10,24
,1:04,Bears,Jimmy Graham 8 yard pass from Nick Foles (Cairo Santos kick),17,24
