Quarter,Time,Down,ToGo,Location,CHI,TEN,Detail,EPB,EPA
1,10:05,1,10,CHI 33,0,0,Nick Foles pass complete short right to Cordarrelle Patterson for 5 yards (tackle by Amani Hooker),1.140,1.270
1,9:25,2,5,CHI 38,0,0,Cordarrelle Patterson left tackle for 2 yards (tackle by Jayon Brown),1.270,0.830
1,8:46,3,3,CHI 40,0,0,Nick Foles pass incomplete short right,0.830,-0.720
1,8:41,4,3,CHI 40,0,0,"Pat O'Donnell punts 54 yards, returned by Kalif Raymond for 16 yards (tackle by DeAndre Houston-Carson)",-0.720,-0.410
1,8:31,1,10,TEN 22,0,0,Derrick Henry left tackle for 5 yards (tackle by Brent Urban and Danny Trevathan),0.410,0.540
1,8:04,2,5,TEN 27,0,0,Derrick Henry up the middle for 2 yards (tackle by Danny Trevathan and Brent Urban),0.540,0.100
1,7:27,3,3,TEN 29,0,0,Jeremy McNichols up the middle for 5 yards (tackle by Buster Skrine and Robert Quinn),0.100,1.200
1,6:43,1,10,TEN 34,0,0,Ryan Tannehill pass complete short middle to A.J. Brown for 38 yards (tackle by Mario Edwards and Danny Trevathan),1.200,3.710
1,5:52,1,10,CHI 28,0,0,Derrick Henry up the middle for no gain (tackle by Roquan Smith),3.710,3.170
1,5:13,2,10,CHI 28,0,0,Ryan Tannehill pass complete short left to Cameron Batson for 6 yards (tackle by Buster Skrine),3.170,3.270
1,4:31,3,4,CHI 22,0,0,Ryan Tannehill pass incomplete short right intended for Anthony Firkser (defended by Eddie Jackson),3.270,2.070
1,4:26,4,4,CHI 22,0,3,Stephen Gostkowski 40 yard field goal good,2.070,3.000
1,4:22,,,TEN 35,0,3,"Stephen Gostkowski kicks off 65 yards, returned by Cordarrelle Patterson for 20 yards (tackle by Joshua Kalu)",0.000,0.280
1,4:17,1,10,CHI 20,0,3,David Montgomery right tackle for -1 yards (tackle by DaQuan Jones),0.280,-0.460
1,3:33,2,11,CHI 19,0,3,David Montgomery up the middle for 5 yards (tackle by Kevin Byard),-0.460,-0.430
1,2:48,3,6,CHI 24,0,3,Nick Foles pass incomplete short middle intended for Anthony Miller,-0.430,-1.770
1,2:43,4,6,CHI 24,0,3,"Pat O'Donnell punts 64 yards, returned by Kalif Raymond for 21 yards (tackle by Sherrick McManis)",-1.770,-1.140
1,2:32,1,10,TEN 33,0,3,D'Onta Foreman left tackle for 3 yards (tackle by Akiem Hicks and James Vaughters),1.140,1.000
1,2:07,2,7,TEN 36,0,3,Ryan Tannehill sacked by Mario Edwards for -6 yards,1.000,-0.490
1,1:37,3,13,TEN 30,0,3,Ryan Tannehill pass incomplete short left intended for Anthony Firkser,-0.490,-1.370
1,1:33,4,13,TEN 30,0,3,"Ryan Allen punts 56 yards, returned by Dwayne Harris for no gain (tackle by Christopher Milton). Penalty on Nick Dzubnar: Offensive Holding, 10 yards (no play)",-1.370,-2.030
1,1:25,4,23,TEN 20,0,3,Ryan Allen punts 60 yards out of bounds,-2.030,-0.280
1,1:17,1,10,CHI 20,0,3,Nick Foles left end for 2 yards (tackle by Jayon Brown),0.280,0.000
1,0:31,2,8,CHI 22,0,3,Nick Foles pass incomplete short left,0.000,-0.690
1,0:27,3,8,CHI 22,0,3,Nick Foles pass incomplete short right intended for Allen Robinson (defended by Malcolm Butler),-0.690,-1.900
1,0:23,4,8,CHI 22,0,3,"Pat O'Donnell punts 53 yards, returned by Kalif Raymond for 12 yards (tackle by Patrick Scales)",-1.900,-1.400
1,0:12,1,10,TEN 37,0,3,Ryan Tannehill pass incomplete short middle intended for Corey Davis,1.400,0.860
1,0:08,2,10,TEN 37,0,3,Derrick Henry right tackle for no gain (tackle by Khalil Mack),0.860,0.170
Quarter,Time,Down,ToGo,Location,CHI,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,10,TEN 37,0,3,Ryan Tannehill sacked by Roquan Smith for -8 yards,0.170,-1.440
2,14:25,4,18,TEN 29,0,3,"Ryan Allen punts 48 yards, returned by Dwayne Harris for 9 yards (tackle by Amani Hooker)",-1.440,-1.070
2,14:14,1,10,CHI 32,0,3,Nick Foles pass complete short right to Jimmy Graham for 4 yards (tackle by Breon Borders),1.070,1.070
2,13:30,2,6,CHI 36,0,3,Nick Foles pass incomplete short right intended for Allen Robinson (defended by Malcolm Butler),1.070,0.370
2,13:26,3,6,CHI 36,0,3,Nick Foles pass incomplete short left intended for Anthony Miller,0.370,-0.980
2,13:23,4,6,CHI 36,0,3,Barkevious Mingo right end for 11 yards (tackle by Amani Hooker),-0.980,2.060
2,12:45,,,,,,Timeout #1 by Chicago Bears,,
2,12:45,1,10,CHI 47,0,3,David Montgomery right guard for 2 yards (tackle by Jayon Brown and DaQuan Jones),2.060,1.790
2,12:06,2,8,CHI 49,0,3,Cordarrelle Patterson left end for 6 yards (tackle by Malcolm Butler),1.790,1.880
2,11:37,3,2,TEN 45,0,3,David Montgomery up the middle for no gain (tackle by DaQuan Jones),1.880,0.270
2,10:55,4,2,TEN 45,0,3,"Pat O'Donnell punts 36 yards, fair catch by Kalif Raymond at TEN-9",0.270,0.380
2,10:49,1,10,TEN 9,0,3,Derrick Henry right guard for 6 yards (tackle by Robert Quinn),-0.380,-0.280
2,10:25,2,4,TEN 15,0,3,Derrick Henry right end for 2 yards (tackle by Daniel McCullers),-0.280,-0.480
2,9:58,3,2,TEN 17,0,3,Derrick Henry up the middle for 2 yards (tackle by Daniel McCullers),-0.480,0.150
2,9:19,1,10,TEN 19,0,3,Derrick Henry left tackle for 4 yards (tackle by Akiem Hicks),0.150,0.210
2,8:41,2,6,TEN 23,0,3,Derrick Henry up the middle for no gain (tackle by Buster Skrine),0.210,-0.550
2,7:59,3,6,TEN 23,0,3,Ryan Tannehill pass complete short middle to A.J. Brown for 17 yards (tackle by Roquan Smith),-0.550,1.600
2,7:17,1,10,TEN 40,0,3,D'Onta Foreman right end for 3 yards (tackle by Buster Skrine),1.600,1.460
2,6:51,2,7,TEN 43,0,3,Ryan Tannehill pass incomplete short right intended for A.J. Brown,1.460,0.760
2,6:47,3,7,TEN 43,0,3,Ryan Tannehill pass complete short middle to Anthony Firkser for 9 yards (tackle by Roquan Smith),0.760,2.390
2,6:10,1,10,CHI 48,0,3,Ryan Tannehill up the middle for 5 yards (tackle by Roquan Smith and Danny Trevathan),2.390,2.520
2,5:27,2,5,CHI 43,0,3,D'Onta Foreman right end for 3 yards (tackle by Roquan Smith and Kyle Fuller),2.520,2.210
2,4:47,3,2,CHI 40,0,9,"Ryan Tannehill pass complete deep left to A.J. Brown for 40 yards, touchdown",2.210,7.000
2,4:39,,,CHI 15,0,10,Stephen Gostkowski kicks extra point good,0.000,0.000
2,4:39,,,TEN 35,0,10,"Stephen Gostkowski kicks off 65 yards, touchback.",0.000,0.610
2,4:39,1,10,CHI 25,0,10,Nick Foles pass complete short right to Jimmy Graham for 14 yards (tackle by Jayon Brown and Breon Borders),0.610,1.530
2,3:58,1,10,CHI 39,0,10,Nick Foles sacked by Jayon Brown for -6 yards,1.530,0.180
2,3:15,2,16,CHI 33,0,10,David Montgomery up the middle for -2 yards (tackle by DaQuan Jones),0.180,-0.760
2,2:32,3,18,CHI 31,0,10,Nick Foles pass complete short right to Cordarrelle Patterson for 9 yards (tackle by Kevin Byard and Kenny Vaccaro),-0.760,-0.720
2,2:00,4,9,CHI 40,0,10,"Pat O'Donnell punts 51 yards, fair catch by Kalif Raymond at TEN-9",-0.720,0.380
2,1:54,1,10,TEN 9,0,10,Derrick Henry left end for 1 yard (tackle by Roquan Smith),-0.380,-0.710
2,1:16,2,9,TEN 10,0,10,Ryan Tannehill sacked by Bilal Nichols for -8 yards,-0.710,-2.240
2,1:12,,,,,,Timeout #2 by Chicago Bears,,
2,1:12,3,17,TEN 2,0,10,Derrick Henry up the middle for no gain (tackle by Akiem Hicks and Jaylon Johnson),-2.240,-2.490
2,1:07,,,,,,Timeout #3 by Chicago Bears,,
2,1:07,4,17,TEN 2,0,10,"Ryan Allen punts 65 yards, returned by Dwayne Harris for 19 yards (tackle by Joshua Kalu)",-2.490,-2.390
2,0:54,1,10,TEN 48,0,10,"Penalty on Charles Leno: False Start, 5 yards (no play)",2.390,2.060
2,0:54,1,15,CHI 47,0,10,"Nick Foles pass complete short middle to Allen Robinson for 6 yards (tackle by Jayon Brown). Penalty on Rashaad Coward: Illegal Use of Hands, 10 yards (no play)",2.060,1.400
2,0:49,1,25,CHI 37,0,10,Nick Foles pass complete short left to Darnell Mooney for 7 yards (tackle by Jayon Brown),1.400,0.770
2,0:30,2,18,CHI 44,0,10,Nick Foles pass complete short left to David Montgomery for 6 yards (tackle by Breon Borders),0.770,0.890
2,0:03,3,12,CHI 50,0,10,Nick Foles pass incomplete short left intended for Darnell Mooney,0.890,-0.060
Quarter,Time,Down,ToGo,Location,CHI,TEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 35,0,10,"Stephen Gostkowski kicks off 43 yards, returned by J.P. Holtz for 7 yards (tackle by Derick Roberson and Daren Bates)",0.000,0.870
3,14:56,1,10,CHI 29,0,10,"Alex Bars aborted snap, recovered by Nick Foles at CHI-26, lateral to Breon Borders for no gain, lateral to Jayon Brown for no gain, lateral to Cordarrelle Patterson for no gain",0.870,-0.080
3,14:16,2,13,CHI 26,0,10,Nick Foles pass complete deep left to Anthony Miller for 34 yards (tackle by Amani Hooker),-0.080,2.920
3,13:48,1,10,TEN 40,0,10,Nick Foles pass incomplete deep right intended for Darnell Mooney,2.920,2.370
3,13:43,2,10,TEN 40,0,10,David Montgomery left tackle for 4 yards (tackle by Jeffery Simmons),2.370,2.210
3,12:58,3,6,TEN 36,0,10,Nick Foles pass complete short right to Cordarrelle Patterson for 5 yards (tackle by Desmond King),2.210,1.410
3,12:33,4,1,TEN 31,0,10,"Penalty on Arlington Hambright: False Start, 4 yards (no play)",1.410,0.980
3,12:13,4,5,TEN 35,0,10,"Penalty on Jimmy Graham: False Start, 5 yards (no play)",0.980,0.590
3,12:11,4,10,TEN 40,0,10,"Pat O'Donnell punts 40 yards, touchback.",0.590,-0.280
3,12:05,1,10,TEN 20,0,10,Derrick Henry left tackle for 5 yards (tackle by Brent Urban),0.280,0.410
3,11:31,2,5,TEN 25,0,10,Derrick Henry left end for 6 yards (tackle by Jaylon Johnson and Roquan Smith),0.410,1.000
3,10:50,1,10,TEN 31,0,10,Derrick Henry up the middle for 1 yard (tackle by Barkevious Mingo and Brent Urban),1.000,0.600
3,10:11,2,9,TEN 32,0,10,Ryan Tannehill pass incomplete short middle intended for A.J. Brown (defended by Jaylon Johnson),0.600,-0.100
3,10:08,3,9,TEN 32,0,10,Ryan Tannehill pass incomplete short left intended for Corey Davis (defended by Jaylon Johnson),-0.100,-1.240
3,10:04,4,9,TEN 32,0,10,"Ryan Allen punts 47 yards, returned by Dwayne Harris for 6 yards (tackle by Christopher Milton and Amani Hooker)",-1.240,-0.740
3,9:54,1,10,CHI 27,0,10,Nick Foles pass complete short right to Darnell Mooney for 5 yards (tackle by Harold Landry),0.740,0.870
3,9:18,2,5,CHI 32,0,10,Nick Foles pass complete short right to Allen Robinson for 7 yards,0.870,1.530
3,8:42,1,10,CHI 39,0,10,Nick Foles pass complete deep right to Darnell Mooney for 22 yards (tackle by Rashaan Evans),1.530,2.980
3,7:55,1,10,TEN 39,0,10,David Montgomery up the middle for 3 yards (tackle by Kevin Byard and DaQuan Jones),2.980,2.850
3,7:18,2,7,TEN 36,0,10,Nick Foles sacked by Harold Landry for -9 yards,2.850,0.960
3,6:33,3,16,TEN 45,0,10,Nick Foles pass complete deep middle to Riley Ridley for 18 yards (tackle by Desmond King),0.960,3.780
3,5:44,1,10,TEN 27,0,10,"Nick Foles pass incomplete. Penalty on Nick Foles: Intentional Grounding, 11 yards",3.780,1.750
3,5:41,2,21,TEN 38,0,10,"Nick Foles sacked by Jeffery Simmons for no gain. Penalty on Derick Roberson: Defensive Offside, 5 yards (no play)",1.750,2.420
3,5:27,2,16,TEN 33,0,10,Nick Foles pass complete short right to Jimmy Graham for 3 yards (tackle by Breon Borders),2.420,2.150
3,4:53,3,13,TEN 30,0,16,"Nick Foles pass complete short right to David Montgomery for -7 yards (tackle by Jeffery Simmons). David Montgomery fumbles (forced by Jeffery Simmons), recovered by Desmond King at TEN-37 and returned for 63 yards, touchdown. Penalty on Darnell Mooney: Illegal Motion (Declined)",2.150,-7.000
3,4:41,,,CHI 15,0,17,Stephen Gostkowski kicks extra point good,0.000,0.000
3,4:41,,,TEN 35,0,17,"Stephen Gostkowski kicks off 58 yards, returned by Cordarrelle Patterson for 26 yards (tackle by Nick Dzubnar)",0.000,1.140
3,4:35,1,10,CHI 33,0,17,David Montgomery up the middle for 3 yards (tackle by DaQuan Jones),1.140,1.000
3,4:00,2,7,CHI 36,0,17,Nick Foles pass complete deep right to Allen Robinson for 23 yards (tackle by Kenny Vaccaro),1.000,2.850
3,3:21,1,10,TEN 41,0,17,Nick Foles pass complete short left to Allen Robinson for 4 yards (tackle by Malcolm Butler),2.850,2.850
3,2:39,2,6,TEN 37,0,17,Cordarrelle Patterson right end for 5 yards (tackle by Derick Roberson and Kevin Byard),2.850,2.810
3,2:10,3,1,TEN 32,0,17,Nick Foles pass incomplete short right intended for Darnell Mooney (defended by Derick Roberson),2.810,1.310
3,2:07,4,1,TEN 32,0,17,David Montgomery left guard for 5 yards (tackle by Jayon Brown),1.310,3.780
3,1:26,1,10,TEN 27,0,17,David Montgomery left tackle for 5 yards (tackle by Derick Roberson and Rashaan Evans),3.780,3.910
3,0:43,2,5,TEN 22,0,17,Nick Foles pass incomplete deep right intended for Darnell Mooney,3.910,3.200
3,0:39,3,5,TEN 22,0,17,Nick Foles pass complete short right to Anthony Miller for 5 yards (tackle by Breon Borders),3.200,4.440
Quarter,Time,Down,ToGo,Location,CHI,TEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,TEN 17,0,17,Nick Foles pass complete short right to Riley Ridley for 5 yards (tackle by Kevin Byard),4.440,4.690
4,14:32,2,5,TEN 12,0,17,Nick Foles pass complete short right to Darnell Mooney for 8 yards (tackle by Kevin Byard),4.690,6.280
4,13:55,1,4,TEN 4,0,17,Nick Foles sacked by and DaQuan Jones for -1 yards and Rashaan Evans for -1 yards,6.280,5.150
4,13:16,2,5,TEN 5,0,17,David Montgomery left guard for 1 yard (tackle by Jeffery Simmons),5.150,4.490
4,12:38,3,4,TEN 4,0,17,Nick Foles pass incomplete short right intended for Darnell Mooney (defended by Harold Landry),4.490,3.030
4,12:33,4,4,TEN 4,3,17,Cairo Santos 22 yard field goal good,3.030,3.000
4,12:30,,,CHI 35,3,17,"Cairo Santos kicks off 64 yards, returned by Cameron Batson for 23 yards (tackle by Duke Shelley)",0.000,0.540
4,12:23,1,10,TEN 24,3,17,Ryan Tannehill pass incomplete deep left intended for Corey Davis (defended by Danny Trevathan),0.540,0.000
4,12:14,2,10,TEN 24,3,17,Derrick Henry right end for 26 yards (tackle by Eddie Jackson),0.000,2.260
4,11:34,1,10,TEN 50,3,17,Derrick Henry left tackle for no gain (tackle by Daniel McCullers),2.260,1.710
4,10:54,2,10,TEN 50,3,17,Ryan Tannehill pass complete short right to A.J. Brown for 6 yards (tackle by Buster Skrine and Kyle Fuller),1.710,1.820
4,10:15,3,4,CHI 44,3,17,Ryan Tannehill pass complete short middle to Anthony Firkser for 12 yards (tackle by Buster Skrine),1.820,3.450
4,9:34,1,10,CHI 32,3,17,Derrick Henry right tackle for no gain (tackle by Akiem Hicks and Danny Trevathan),3.450,2.900
4,8:49,2,10,CHI 32,3,17,Ryan Tannehill pass complete short middle to Jonnu Smith for 30 yards (tackle by Eddie Jackson),2.900,6.740
4,8:14,1,2,CHI 2,3,23,"Ryan Tannehill pass complete short right to Jonnu Smith for 2 yards, touchdown",6.740,7.000
4,8:10,,,CHI 15,3,24,Stephen Gostkowski kicks extra point good,0.000,0.000
4,8:10,,,TEN 35,3,24,"Stephen Gostkowski kicks off 65 yards, touchback.",0.000,0.610
4,8:10,1,10,CHI 25,3,24,Nick Foles pass complete short left to Allen Robinson for 5 yards (tackle by Kenny Vaccaro),0.610,0.740
4,7:48,2,5,CHI 30,3,24,Nick Foles pass complete deep left to Allen Robinson for 27 yards (tackle by Malcolm Butler),0.740,2.720
4,7:21,1,10,TEN 43,3,24,Nick Foles pass complete short middle to David Montgomery for 13 yards (tackle by Amani Hooker),2.720,3.580
4,6:55,1,10,TEN 30,3,24,Nick Foles pass complete short right to Darnell Mooney for 1 yard (tackle by Breon Borders),3.580,3.170
4,6:19,2,9,TEN 29,3,24,David Montgomery up the middle for 4 yards (tackle by Amani Hooker and Kenny Vaccaro),3.170,3.010
4,5:32,3,5,TEN 25,3,24,Nick Foles pass incomplete short left (defended by Jayon Brown),3.010,1.850
4,5:29,4,5,TEN 25,3,24,"Nick Foles pass complete short right to Anthony Miller for 12 yards (tackle by Kevin Byard). Penalty on Kevin Byard: Face Mask (15 Yards), 7 yards",1.850,5.830
4,5:14,1,6,TEN 6,3,24,Nick Foles pass incomplete short middle intended for Anthony Miller (defended by Jeffery Simmons),5.830,4.950
4,5:11,2,6,TEN 6,9,24,"Nick Foles pass complete short right to Ryan Nall for 6 yards, touchdown",4.950,7.000
4,5:06,,,TEN 15,10,24,Cairo Santos kicks extra point good,0.000,0.000
4,5:06,,,CHI 35,10,24,"Cairo Santos kicks off 54 yards, returned by Kalif Raymond for 14 yards (tackle by Ryan Nall)",0.000,0.610
4,5:02,1,10,TEN 25,10,24,Derrick Henry left tackle for 2 yards (tackle by Akiem Hicks),0.610,0.330
4,4:57,,,,,,Timeout #1 by Chicago Bears,,
4,4:57,2,8,TEN 27,10,24,Derrick Henry left guard for 2 yards (tackle by Akiem Hicks),0.330,-0.100
4,4:51,,,,,,Timeout #2 by Chicago Bears,,
4,4:51,3,6,TEN 29,10,24,Ryan Tannehill pass complete short right to Anthony Firkser for -2 yards (tackle by Roquan Smith),-0.100,-1.570
4,4:05,4,8,TEN 27,10,24,"Ryan Allen punts 46 yards, returned by Dwayne Harris for 12 yards (tackle by Joshua Kalu)",-1.570,-1.530
4,3:53,1,10,CHI 39,10,24,"Nick Foles pass complete short middle to Anthony Miller for 4 yards (tackle by Jayon Brown). Anthony Miller fumbles (forced by Jayon Brown), recovered by Jeffery Simmons at CHI-43",1.530,-2.720
4,3:46,1,10,CHI 43,10,24,D'Onta Foreman left guard for 1 yard (tackle by Khalil Mack),2.720,2.310
4,3:38,,,,,,Timeout #3 by Chicago Bears,,
4,3:38,2,9,CHI 42,10,24,D'Onta Foreman right tackle for 1 yard (tackle by Khalil Mack and Daniel McCullers),2.310,1.750
4,2:54,3,8,CHI 41,10,24,Jeremy McNichols up the middle for 5 yards (tackle by Roquan Smith),1.750,0.890
4,2:08,4,3,CHI 36,10,24,"Penalty on TEN: Delay of Game, 5 yards (no play)",0.890,0.530
4,2:08,4,8,CHI 41,10,24,"Ryan Allen punts 41 yards, touchback.",0.530,-0.280
4,2:02,1,10,CHI 20,10,24,Nick Foles pass complete short middle to Ryan Nall for 16 yards (tackle by Kenny Vaccaro and Jayon Brown),0.280,1.330
4,1:55,1,10,CHI 36,10,24,"Nick Foles pass complete short right to Ryan Nall for 1 yard (tackle by Derick Roberson). Penalty on Jack Crawford: Roughing the Passer, 15 yards",1.330,2.390
4,1:49,1,10,TEN 48,10,24,Nick Foles pass complete short left to Jimmy Graham for 2 yards (tackle by Breon Borders),2.390,2.120
4,1:43,2,8,TEN 46,10,24,Nick Foles pass incomplete short left,2.120,1.420
4,1:38,3,8,TEN 46,10,24,"Nick Foles pass incomplete short middle intended for Anthony Miller (defended by Amani Hooker). Penalty on Amani Hooker: Unnecessary Roughness, 15 yards (no play)",1.420,3.510
4,1:36,1,10,TEN 31,10,24,Nick Foles pass incomplete deep left intended for Darnell Mooney (defended by Breon Borders),3.510,2.970
4,1:30,2,10,TEN 31,10,24,Nick Foles pass complete short left to Ryan Nall for 12 yards (tackle by Amani Hooker),2.970,4.310
4,1:25,1,10,TEN 19,10,24,Nick Foles pass complete short left to Allen Robinson for 11 yards (tackle by Malcolm Butler and Amani Hooker),4.310,5.370
4,1:07,,,,,,Timeout #1 by Tennessee Titans,,
4,1:07,1,8,TEN 8,16,24,"Nick Foles pass complete short right to Jimmy Graham for 8 yards, touchdown",5.370,7.000
4,1:04,,,TEN 15,17,24,Cairo Santos kicks extra point good,0.000,0.000
4,1:04,,,CHI 35,17,24,"Cairo Santos kicks onside 13 yards, returned by Amani Hooker for no gain",0.000,2.390
4,1:03,1,10,CHI 48,17,24,Ryan Tannehill kneels for -1 yards,2.390,1.710
4,0:38,2,11,CHI 49,17,24,Ryan Tannehill kneels for -1 yards,1.710,0.890
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
