Unnamed: 0,LAC,TEN
First Downs,19,22
Rush-Yds-TDs,21-61-0,34-141-2
Cmp-Att-Yd-TD-INT,27-41-305-2-0,20-24-246-1-0
Sacked-Yards,3-24,5-46
Net Pass Yards,281,200
Total Yards,342,341
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,4-43,7-45
Third Down Conv.,2-14,6-13
Fourth Down Conv.,3-3,0-1
Time of Possession,28:09,36:49
