Quarter,Time,Tm,Detail,LAC,TEN
1,3:46,Chargers,Cameron Dicker 27 yard field goal,3,0
2,8:16,Chargers,Keenan Allen 8 yard pass from Justin Herbert (Trey Pipkins pass from Justin Herbert),11,0
,7:09,Titans,Derrick Henry 1 yard rush (Nick Folk kick),11,7
,4:23,Chargers,Cameron Dicker 30 yard field goal,14,7
,0:00,Titans,Nick Folk 33 yard field goal,14,10
3,10:08,Titans,Ryan Tannehill 12 yard rush (Nick Folk kick),14,17
4,14:38,Chargers,Keenan Allen 12 yard pass from Justin Herbert (Cameron Dicker kick),21,17
,2:22,Titans,Nick Westbrook-Ikhine 4 yard pass from Ryan Tannehill (Nick Folk kick),21,24
,0:00,Chargers,Cameron Dicker 33 yard field goal,24,24
OT,5:02,Titans,Nick Folk 41 yard field goal,24,27
