Quarter,Time,Down,ToGo,Location,NYG,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss and deferred, Giants to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Aldrick Rosas kicks off 65 yards, returned by C.J. Board for 15 yards (tackle by Chris Hogan)",,
1,14:56,1,10,NYG 15,0,0,Saquon Barkley left guard for no gain (tackle by Marshon Lattimore and Tanoh Kpassagnon),,
1,14:28,2,10,NYG 15,0,0,Daniel Jones scrambles left end for 4 yards (tackle by Pete Werner),,
1,13:49,3,6,NYG 19,0,0,Daniel Jones pass incomplete short middle intended for Kadarius Toney (defended by Tanoh Kpassagnon),,
1,13:44,4,6,NYG 19,0,0,"Riley Dixon punts 43 yards, returned by Deonte Harty for 9 yards (tackle by Keion Crossen)",,
1,13:32,1,10,NOR 47,0,0,Alvin Kamara left tackle for 6 yards (tackle by Dexter Lawrence),,
1,12:59,2,4,NYG 47,0,0,Alvin Kamara right end for 10 yards (tackle by Tae Crowder),,
1,12:21,1,10,NYG 37,0,0,Jameis Winston pass incomplete short left intended for Tony Jones (defended by Dexter Lawrence),,
1,12:16,2,10,NYG 37,0,0,Jameis Winston pass complete short right to Tony Jones for -3 yards (tackle by Dexter Lawrence),,
1,11:40,3,13,NYG 40,0,0,Jameis Winston pass incomplete short right intended for Juwan Johnson (defended by Oshane Ximines),,
1,11:35,4,13,NYG 40,0,0,"Blake Gillikin punts 34 yards, fair catch by Jabrill Peppers at NYG-6",,
1,11:28,1,10,NYG 6,0,0,Saquon Barkley left guard for no gain (tackle by C.J. Gardner-Johnson and Cameron Jordan),,
1,10:57,2,10,NYG 6,0,0,Daniel Jones pass complete short left to Kenny Golladay for 13 yards (tackle by Marshon Lattimore),,
1,10:13,1,10,NYG 19,0,0,Saquon Barkley right guard for 1 yard (tackle by Pete Werner),,
1,9:43,2,9,NYG 20,0,0,Daniel Jones pass incomplete deep right intended for Kadarius Toney,,
1,9:36,3,9,NYG 20,0,0,Daniel Jones pass incomplete short right,,
1,9:29,4,9,NYG 20,0,0,"Riley Dixon punts 51 yards, fair catch by Deonte Harty at NO-29",,
1,9:24,1,10,NOR 29,0,0,Alvin Kamara left tackle for 6 yards (tackle by Dexter Lawrence and Julian Love),,
1,8:47,2,4,NOR 35,0,0,Alvin Kamara left tackle for 3 yards (tackle by Tae Crowder),,
1,8:08,3,1,NOR 38,0,0,Tony Jones right guard for 3 yards (tackle by Julian Love and Leonard Williams),,
1,7:26,1,10,NOR 41,0,0,Jameis Winston pass complete short right to Taysom Hill for 11 yards (tackle by Logan Ryan),,
1,6:46,1,10,NYG 48,0,0,Alvin Kamara right guard for 3 yards (tackle by Leonard Williams),,
1,6:03,2,7,NYG 45,0,0,Jameis Winston pass complete short left to Deonte Harty for 9 yards (tackle by Logan Ryan and Lorenzo Carter),,
1,5:22,1,10,NYG 36,0,0,Tony Jones left guard for 2 yards (tackle by Reggie Ragland),,
1,4:41,2,8,NYG 34,0,0,Alvin Kamara left guard for 5 yards (tackle by Lorenzo Carter and Austin Johnson),,
1,3:57,3,3,NYG 29,0,0,Jameis Winston pass incomplete short middle intended for Tony Jones (defended by Logan Ryan),,
1,3:51,,,,,,Timeout #1 by New Orleans Saints,,
1,3:51,4,3,NYG 29,0,0,Alvin Kamara left end for 2 yards (tackle by Leonard Williams and Lorenzo Carter),,
1,3:44,1,10,NYG 27,0,0,"Daniel Jones pass complete short left to Kenny Golladay for no gain. Penalty on Kenny Golladay: Offensive Pass Interference, 10 yards (accepted) (no play)",,
1,3:15,1,20,NYG 17,0,0,Daniel Jones pass complete short right to Saquon Barkley for -4 yards (tackle by Pete Werner and Shy Tuttle),,
1,2:27,2,24,NYG 13,0,0,Daniel Jones pass complete short left to Devontae Booker for 6 yards (tackle by Tanoh Kpassagnon),,
1,1:46,3,18,NYG 19,0,0,Daniel Jones pass complete short middle to Kadarius Toney for 18 yards (tackle by Malcolm Jenkins and Kaden Elliss),,
1,1:06,1,10,NYG 37,0,0,Daniel Jones pass complete short right to Kadarius Toney for 4 yards (tackle by Demario Davis),,
1,0:35,2,6,NYG 41,0,0,Saquon Barkley left guard for 7 yards (tackle by Demario Davis),,
Quarter,Time,Down,ToGo,Location,NYG,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NYG 48,0,0,Daniel Jones pass complete deep middle to Kenny Golladay for 27 yards (tackle by Malcolm Jenkins),,
2,14:31,1,10,NOR 25,0,0,Saquon Barkley right end for 8 yards (tackle by Malcolm Jenkins),,
2,14:00,2,2,NOR 17,0,0,Saquon Barkley right end for 1 yard (tackle by Pete Werner),,
2,13:27,3,1,NOR 16,0,0,Daniel Jones pass incomplete deep right,,
2,13:20,4,1,NOR 16,0,0,Graham Gano 35 yard field goal no good,,
2,13:15,1,10,NOR 25,0,0,Jameis Winston pass complete short left to Deonte Harty for 6 yards (tackle by James Bradberry),,
2,12:35,2,4,NOR 31,0,0,Alvin Kamara left tackle for 4 yards (tackle by Austin Johnson),,
2,11:48,1,10,NOR 35,0,0,Jameis Winston pass incomplete short right intended for Deonte Harty,,
2,11:40,2,10,NOR 35,0,0,Jameis Winston pass complete short left to Deonte Harty for 18 yards (tackle by Logan Ryan),,
2,10:56,1,10,NYG 47,0,0,Alvin Kamara left tackle for 2 yards (tackle by Leonard Williams and Danny Shelton),,
2,10:17,2,8,NYG 45,0,0,Tony Jones left tackle for 3 yards (tackle by Oshane Ximines and Austin Johnson),,
2,9:54,3,5,NYG 42,0,0,Jameis Winston pass complete short right to Ty Montgomery for 2 yards (tackle by Adoree' Jackson),,
2,9:05,4,3,NYG 40,0,0,Aldrick Rosas 58 yard field goal no good,,
2,8:59,1,10,NYG 48,6,0,"Daniel Jones pass complete deep middle to John Ross for 51 yards. John Ross fumbles (forced by Marcus Williams), recovered by John Ross in end zone, touchdown",,
2,8:51,,,NOR 15,7,0,Graham Gano kicks extra point good,,
2,8:51,,,NYG 35,7,0,,,
2,8:51,1,10,NOR 25,7,0,Alvin Kamara left guard for 8 yards (tackle by Xavier McKinney and Adoree' Jackson),,
2,8:10,2,2,NOR 33,7,0,Alvin Kamara right tackle for 1 yard (tackle by Austin Johnson),,
2,7:31,3,1,NOR 34,7,0,Alvin Kamara right guard for 3 yards (tackle by Dexter Lawrence and Tae Crowder),,
2,6:54,1,10,NOR 37,7,0,Jameis Winston pass complete short left to Deonte Harty for 11 yards (tackle by Adoree' Jackson),,
2,6:20,1,10,NOR 48,7,0,Jameis Winston pass complete short right to Chris Hogan for 6 yards (tackle by Xavier McKinney),,
2,5:48,2,4,NYG 46,7,0,Taysom Hill up the middle for 2 yards (tackle by Leonard Williams and Reggie Ragland),,
2,5:09,3,2,NYG 44,7,0,Jameis Winston pass complete short right to Juwan Johnson for 5 yards (tackle by Xavier McKinney),,
2,4:32,1,10,NYG 39,7,0,"Alvin Kamara right tackle for no gain (tackle by Julian Love). Penalty on James Hurst: Offensive Holding, 10 yards (accepted) (no play)",,
2,3:56,1,20,NYG 49,7,0,Taysom Hill pass complete short right to Dwayne Washington for 6 yards (tackle by Reggie Ragland),,
2,3:16,2,14,NYG 43,7,0,Dwayne Washington right tackle for 5 yards (tackle by Reggie Ragland and Logan Ryan),,
2,2:29,3,9,NYG 38,7,0,Jameis Winston pass complete deep right to Ty Montgomery for 19 yards (tackle by Adoree' Jackson),,
2,2:00,1,10,NYG 19,7,0,Alvin Kamara right guard for 8 yards (tackle by Xavier McKinney and Tae Crowder),,
2,1:18,2,2,NYG 11,7,0,Alvin Kamara right guard for 1 yard (tackle by Logan Ryan),,
2,0:37,3,1,NYG 10,7,0,Taysom Hill right end for no gain (tackle by James Bradberry and Logan Ryan) (no play),,
2,0:29,,,,,,Timeout #2 by New Orleans Saints,,
2,0:29,3,6,NYG 15,7,6,"Jameis Winston pass complete short left to Juwan Johnson for 15 yards, touchdown",,
2,0:23,,,NYG 15,7,7,Aldrick Rosas kicks extra point good,,
2,0:23,,,NOR 35,7,7,,,
2,0:23,1,10,NYG 25,7,7,"Daniel Jones pass incomplete deep right intended for Kadarius Toney. Penalty on Matt Skura: Offensive Holding, 10 yards (accepted) (no play)",,
2,0:18,1,20,NYG 15,7,7,Saquon Barkley left guard for 17 yards (tackle by Malcolm Jenkins and Marcus Williams),,
2,0:10,,,,,,Timeout #1 by New York Giants,,
2,0:10,2,3,NYG 32,7,7,Daniel Jones scrambles right tackle for 20 yards (tackle by Malcolm Jenkins),,
2,0:03,,,,,,Timeout #3 by New Orleans Saints,,
2,0:03,1,10,NOR 48,7,7,Daniel Jones pass deep right is intercepted by Marcus Williams at NO-2 and returned for 3 yards (tackle by Kenny Golladay),,
Quarter,Time,Down,ToGo,Location,NYG,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 35,7,7,"Graham Gano kicks off 65 yards, touchback.",,
3,15:00,1,10,NOR 25,7,7,Jameis Winston pass complete deep left to Marquez Callaway for 58 yards (tackle by James Bradberry),,
3,14:18,1,10,NYG 17,7,7,Jameis Winston pass complete short right to Chris Hogan for 9 yards (tackle by Tae Crowder and Adoree' Jackson),,
3,13:35,2,1,NYG 8,7,13,"Taysom Hill right end for 8 yards, touchdown",,
3,13:24,,,NYG 15,7,14,Aldrick Rosas kicks extra point good,,
3,13:24,,,NOR 35,7,14,"Aldrick Rosas kicks off 65 yards, touchback.",,
3,13:24,1,10,NYG 25,7,14,Daniel Jones pass complete deep left to Kadarius Toney for 19 yards (tackle by Paulson Adebo),,
3,12:52,1,10,NYG 44,7,14,Saquon Barkley left guard for 1 yard (tackle by Albert Huggins and Pete Werner),,
3,12:14,2,9,NYG 45,7,14,Daniel Jones pass complete short left to Evan Engram for 7 yards (tackle by Malcolm Jenkins),,
3,11:36,3,2,NOR 48,7,14,Daniel Jones pass complete short right to Kenny Golladay for 8 yards (tackle by Demario Davis),,
3,10:59,1,10,NOR 40,7,14,Daniel Jones pass complete short left to Kenny Golladay for 17 yards (tackle by Marcus Williams),,
3,10:26,1,10,NOR 23,7,14,Daniel Jones pass complete deep left to Kyle Rudolph for 20 yards (tackle by Marcus Williams),,
3,9:54,1,3,NOR 3,7,14,Saquon Barkley right guard for 1 yard (tackle by Carl Granderson and Marcus Williams),,
3,9:20,2,2,NOR 2,7,14,Evan Engram left end for -3 yards (tackle by Malcolm Jenkins and Pete Werner),,
3,8:44,3,5,NOR 5,7,14,Daniel Jones pass incomplete short left intended for Kyle Rudolph (defended by Marshon Lattimore),,
3,8:40,4,5,NOR 5,10,14,Graham Gano 23 yard field goal good,,
3,8:36,,,NYG 35,10,14,"Graham Gano kicks off 65 yards, touchback.",,
3,8:36,1,10,NOR 25,10,14,Ty Montgomery right guard for 5 yards (tackle by Reggie Ragland),,
3,8:00,2,5,NOR 30,10,14,Alvin Kamara right tackle for 3 yards (tackle by Danny Shelton and Oshane Ximines),,
3,7:15,3,2,NOR 33,10,14,Jameis Winston pass complete short right to Ty Montgomery for 21 yards (tackle by Julian Love and Logan Ryan),,
3,6:24,1,10,NYG 46,10,14,"Jameis Winston pass complete to Kenny Stills for no gain, touchdown. Penalty on Adam Trautman: Offensive Holding, 10 yards (accepted) (no play)",,
3,6:17,1,20,NOR 44,10,14,Taysom Hill pass deep left intended for Deonte Harty is intercepted by James Bradberry at NYG-12 and returned for no gain (tackle by Deonte Harty),,
3,6:08,1,10,NYG 12,10,14,Daniel Jones pass complete short left to Evan Engram for 8 yards (tackle by Kaden Elliss),,
3,5:35,2,2,NYG 20,10,14,"Saquon Barkley left tackle for 2 yards (tackle by Cameron Jordan) NOR challenged the first down ruling, and the play was upheld.",,
3,4:58,1,10,NYG 22,10,14,Daniel Jones pass complete short left to Kyle Rudolph for 4 yards (tackle by Pete Werner and Cameron Jordan),,
3,4:19,2,6,NYG 26,10,14,Saquon Barkley right guard for 4 yards (tackle by Tanoh Kpassagnon),,
3,3:38,3,2,NYG 30,10,14,Daniel Jones pass incomplete short middle intended for Evan Engram,,
3,3:34,4,2,NYG 30,10,14,Riley Dixon punts 33 yards downed by Carter Coughlin,,
3,3:23,1,10,NOR 37,10,14,Jameis Winston pass complete short left to Taysom Hill for 15 yards (tackle by Logan Ryan),,
3,2:43,1,10,NYG 48,10,14,Alvin Kamara left guard for 4 yards (tackle by Reggie Ragland),,
3,2:05,2,6,NYG 44,10,14,Taysom Hill right guard for 6 yards (tackle by Dexter Lawrence),,
