Unnamed: 0,NYG,NOR
First Downs,21,21
Rush-Yds-TDs,20-83-1,39-170-2
Cmp-Att-Yd-TD-INT,28-40-402-2-1,19-26-235-1-1
Sacked-Yards,0-0,0-0
Net Pass Yards,402,235
Total Yards,485,405
Fumbles-Lost,2-0,0-0
Turnovers,1,1
Penalties-Yards,3-25,5-35
Third Down Conv.,4-11,8-13
Fourth Down Conv.,0-0,0-1
Time of Possession,27:35,37:31
