Unnamed: 0,NWE,PIT
First Downs,19,25
Rush-Yds-TDs,6-5-0,49-221-1
Cmp-Att-Yd-TD-INT,25-43-271-2-2,18-24-196-2-0
Sacked-Yards,4-28,0-0
Net Pass Yards,243,196
Total Yards,248,417
Fumbles-Lost,3-2,1-0
Turnovers,4,0
Penalties-Yards,6-55,9-90
Third Down Conv.,3-9,9-16
Fourth Down Conv.,0-0,0-0
Time of Possession,17:02,42:58
