Quarter,Time,Tm,Detail,NWE,PIT
1.0,11:39,Patriots,Adam Vinatieri 43 yard field goal,3,0
,3:46,Steelers,Plaxico Burress 47 yard pass from Ben Roethlisberger (Jeff Reed kick),3,7
,0:29,Steelers,Plaxico Burress 4 yard pass from Ben Roethlisberger (Jeff Reed kick),3,14
,0:13,Steelers,Deshea Townsend 39 yard interception return (Jeff Reed kick),3,21
2.0,2:06,Steelers,Jeff Reed 19 yard field goal,3,24
,0:42,Patriots,David Givens 2 yard pass from Tom Brady (Adam Vinatieri kick),10,24
3.0,13:06,Steelers,Jerome Bettis 2 yard rush (Jeff Reed kick),10,31
,10:41,Patriots,Adam Vinatieri 25 yard field goal,13,31
,2:06,Steelers,Jeff Reed 29 yard field goal,13,34
4.0,6:33,Patriots,David Givens 23 yard pass from Tom Brady (Adam Vinatieri kick),20,34
