Quarter,Time,Down,ToGo,Location,NWE,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss, Steelers to receive the opening kickoff.",,
1,15:00,,,NWE 30,0,0,"Adam Vinatieri kicks off 66 yards, returned by Antwaan Randle El for 21 yards (tackle by Rodney Harrison)",0.000,0.610
1,14:55,1,10,PIT 25,0,0,Duce Staley up the middle for 4 yards (tackle by Tedy Bruschi),0.610,0.600
1,14:17,2,6,PIT 29,0,0,Ben Roethlisberger pass incomplete intended for Jay Riemersma,0.600,-0.100
1,14:11,3,6,PIT 29,0,0,"Penalty on Marvel Smith: False Start, 5 yards (no play)",-0.100,-0.760
1,14:11,3,11,PIT 24,0,0,Ben Roethlisberger pass incomplete intended for Plaxico Burress,-0.760,-1.770
1,14:06,4,11,PIT 24,0,0,"Chris Gardocki punts 47 yards, returned by Kevin Faulk for 6 yards (tackle by Chidi Iwuoma)",-1.770,-1.270
1,13:57,1,10,NWE 35,0,0,Tom Brady pass complete to David Patten for 4 yards (tackle by Deshea Townsend),1.270,1.260
1,13:21,2,6,NWE 39,0,0,Tom Brady pass complete to David Givens for 11 yards (tackle by Willie J. Williams),1.260,2.260
1,12:58,1,10,PIT 50,0,0,"Tom Brady pass complete to David Patten for 11 yards (tackle by Troy Polamalu). Penalty on Troy Polamalu: Face Mask (15 Yards), 15 yards",2.260,3.970
1,12:58,1,10,PIT 24,0,0,Kevin Faulk up the middle for -1 yards (tackle by James Farrior and Joey Porter),3.970,3.300
1,12:58,2,11,PIT 25,0,0,Tom Brady pass incomplete intended for David Patten,3.300,2.610
1,11:48,3,11,PIT 25,0,0,Tom Brady pass incomplete intended for David Patten,2.610,1.800
1,11:40,4,11,PIT 25,3,0,Adam Vinatieri 43 yard field goal good,1.800,3.000
1,,,,NWE 30,3,0,"Adam Vinatieri kicks off 70 yards, returned by Antwaan Randle El for 31 yards (tackle by Dexter Reid). Penalty on Verron Haynes: Unnecessary Roughness, 15 yards",0.000,-0.140
