Quarter,Time,Tm,Detail,PHI,WAS
1.0,11:54,Football Team,Jaret Patterson 11 yard rush (Joey Slye kick),0,7
,2:00,Football Team,Joey Slye 31 yard field goal,0,10
2.0,11:49,Eagles,Boston Scott 2 yard rush (Jake Elliott kick),7,10
,5:36,Football Team,Joey Slye 39 yard field goal,7,13
,0:01,Football Team,Joey Slye 55 yard field goal,7,16
3.0,7:21,Eagles,Boston Scott 1 yard rush (Jake Elliott kick),14,16
4.0,11:41,Eagles,Jake Elliott 42 yard field goal,17,16
,2:21,Eagles,Jake Elliott 41 yard field goal,20,16
