Unnamed: 0,PHI,WAS
First Downs,18,24
Rush-Yds-TDs,34-118-2,22-94-1
Cmp-Att-Yd-TD-INT,17-26-214-0-0,27-36-247-0-1
Sacked-Yards,1-2,3-29
Net Pass Yards,212,218
Total Yards,330,312
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,6-42,1-4
Third Down Conv.,4-12,9-15
Fourth Down Conv.,3-4,0-1
Time of Possession,32:09,27:51
