Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Boston Scott,PHI,14,47,2,5,15,1.1,32,2.3,0,
Jordan Howard,PHI,11,26,0,1,8,0.7,18,1.6,0,
Jalen Hurts,PHI,7,44,0,2,33,4.7,11,1.6,0,
Kenneth Gainwell,PHI,1,4,0,1,1,1.0,3,3.0,0,
Jalen Reagor,PHI,1,-3,0,,-3,-3.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Jaret Patterson,WAS,12,57,1,4,26,2.2,31,2.6,0,
Wendell Smallwood,WAS,4,12,0,2,6,1.5,6,1.5,0,
Taylor Heinicke,WAS,2,14,0,1,14,7.0,0,0.0,0,
Jonathan Williams,WAS,2,4,0,1,1,0.5,3,1.5,0,
DeAndre Carter,WAS,1,6,0,,5,5.0,1,1.0,0,
Dax Milne,WAS,1,1,0,,1,1.0,0,0.0,0,
