Unnamed: 0,NWE,DEN
First Downs,19,27
Rush-Yds-TDs,16-64-1,28-107-0
Cmp-Att-Yd-TD-INT,24-38-277-1-0,32-43-400-2-0
Sacked-Yards,2-21,0-0
Net Pass Yards,256,400
Total Yards,320,507
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,2-15,4-34
Third Down Conv.,6-12,7-13
Fourth Down Conv.,1-2,1-1
Time of Possession,24:16,35:44
