Quarter,Time,Tm,Detail,NWE,DEN
1.0,3:43,Broncos,Matt Prater 27 yard field goal,0,3
2.0,7:50,Broncos,Jacob Tamme 1 yard pass from Peyton Manning (Matt Prater kick),0,10
,2:54,Patriots,Stephen Gostkowski 47 yard field goal,3,10
,0:25,Broncos,Matt Prater 35 yard field goal,3,13
3.0,7:52,Broncos,Demaryius Thomas 3 yard pass from Peyton Manning (Matt Prater kick),3,20
4.0,12:02,Broncos,Matt Prater 19 yard field goal,3,23
,9:26,Patriots,Julian Edelman 7 yard pass from Tom Brady (Stephen Gostkowski kick),10,23
,7:00,Broncos,Matt Prater 54 yard field goal,10,26
,3:07,Patriots,Tom Brady 5 yard rush (run failed),16,26
