Quarter,Time,Tm,Detail,NOR,MIN
1.0,8:21,Saints,Wil Lutz 43 yard field goal,3,0
,1:01,Vikings,Kai Forbath 24 yard field goal,3,3
2.0,5:26,Saints,Wil Lutz 21 yard field goal,6,3
,4:08,Vikings,Stefon Diggs 18 yard pass from Sam Bradford (Kai Forbath kick),6,10
,0:03,Vikings,Stefon Diggs 2 yard pass from Sam Bradford (Kai Forbath kick failed),6,16
3.0,11:07,Vikings,Kai Forbath 32 yard field goal,6,19
,2:43,Saints,Wil Lutz 24 yard field goal,9,19
4.0,12:52,Vikings,Kyle Rudolph 15 yard pass from Sam Bradford (Kai Forbath kick),9,26
,7:49,Saints,Wil Lutz 20 yard field goal,12,26
,4:00,Vikings,Kai Forbath 45 yard field goal,12,29
,1:56,Saints,Coby Fleener 8 yard pass from Drew Brees (Wil Lutz kick),19,29
