Quarter,Time,Down,ToGo,Location,PHI,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,WAS 30,0,0,"Shaun Suisham kicks off 66 yards, returned by Reno Mahe for 27 yards (tackle by Rock Cartwright)",0.000,1.000
1,14:56,1,10,PHI 31,0,0,Jeff Garcia pass incomplete deep middle intended for Reggie Brown (defended by Carlos Rogers),1.000,0.460
1,14:49,2,10,PHI 31,0,0,Jeff Garcia pass complete short middle to Greg Lewis for 7 yards (tackle by Shawn Springs),0.460,0.700
1,14:10,3,3,PHI 38,0,0,Jeff Garcia pass complete short right to Matt Schobel for 1 yard (tackle by Sean Taylor and Vernon Fox),0.700,-0.780
1,13:36,4,2,PHI 39,0,0,Dirk Johnson punts 49 yards,-0.780,0.350
1,13:24,1,10,WAS 12,0,0,Ladell Betts left guard for 5 yards (tackle by Dhani Jones),-0.350,-0.230
1,12:51,2,5,WAS 17,0,0,Jason Campbell pass incomplete deep right intended for Chris Cooley (defended by Mike Patterson),-0.230,-0.840
1,12:43,3,5,WAS 17,0,0,Jason Campbell pass complete short left to Antwaan Randle El for 19 yards (tackle by Will Peterson),-0.840,1.330
1,12:09,1,10,WAS 36,0,0,Ladell Betts right guard for 19 yards (tackle by Brian Dawkins and Sean Considine),1.330,2.590
1,11:36,1,10,PHI 45,0,0,"Ladell Betts left end for 1 yard (tackle by Darwin Walker and Jeremiah Trotter). Penalty on Chris Cooley: Illegal Motion, 5 yards (no play)",2.590,2.260
1,11:17,1,15,WAS 50,0,0,Ladell Betts left guard for 13 yards (tackle by Brian Dawkins and Sean Considine),2.260,3.120
1,10:37,2,2,PHI 37,0,0,Jason Campbell pass complete deep right to Santana Moss for 18 yards,3.120,4.310
1,10:10,1,10,PHI 19,0,0,Ladell Betts left tackle for 3 yards (tackle by Sam Rayburn and Mike Patterson),4.310,4.180
1,9:36,2,7,PHI 16,0,0,Ladell Betts right tackle for 3 yards (tackle by Shawn Barber),4.180,3.960
1,9:01,3,4,PHI 13,0,0,Jason Campbell pass incomplete short right intended for Brian Kozlowski,3.960,2.640
1,8:55,4,4,PHI 13,0,3,Shaun Suisham 31 yard field goal good,2.640,3.000
1,,,,WAS 30,0,3,"Shaun Suisham kicks off 66 yards, returned by Reno Mahe for 18 yards (tackle by James Thrash)",0.000,0.410
1,8:43,1,10,PHI 22,0,3,Brian Westbrook left guard for 4 yards (tackle by Cornelius Griffin),0.410,0.410
1,8:05,2,6,PHI 26,0,3,Brian Westbrook right tackle for -2 yards (tackle by Renaldo Wynn and Marcus Washington),0.410,-0.560
1,7:23,3,8,PHI 24,0,3,Jeff Garcia pass complete short left to Brian Westbrook for 5 yards (tackle by Shawn Springs),-0.560,-1.440
1,6:45,4,3,PHI 29,0,3,"Dirk Johnson punts 41 yards, returned by Antwaan Randle El for 4 yards (tackle by Dhani Jones)",-1.440,-1.200
1,6:33,1,10,WAS 34,0,3,Jason Campbell pass complete short right to Chris Cooley for 5 yards (tackle by Dhani Jones),1.200,1.330
1,6:08,2,5,WAS 39,0,3,Ladell Betts right end for 2 yards (tackle by Dhani Jones and Mike Patterson),1.330,0.890
1,5:26,3,3,WAS 41,0,3,Jason Campbell pass incomplete intended for Santana Moss is intercepted by Omar Gaither at WAS-47 and returned for 16 yards,0.890,-3.510
1,5:18,1,10,WAS 31,0,3,Brian Westbrook right tackle for 6 yards (tackle by Cornelius Griffin),3.510,3.780
1,4:42,2,4,WAS 25,0,3,Brian Westbrook left tackle for 6 yards (tackle by Vernon Fox),3.780,4.310
1,4:04,1,10,WAS 19,0,3,Correll Buckhalter right guard for 4 yards (tackle by Renaldo Wynn and Lemar Marshall),4.310,4.350
1,3:24,2,6,WAS 15,0,3,"Jeff Garcia pass incomplete short middle intended for Donte' Stallworth. Penalty on Carlos Rogers: Defensive Holding, 5 yards (no play)",4.350,4.910
1,3:15,1,10,WAS 10,6,3,"Jeff Garcia pass complete short middle to L.J. Smith for 10 yards, touchdown",4.910,7.000
1,,,,WAS 2,7,3,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,7,3,"David Akers kicks off 71 yards, returned by Rock Cartwright for 31 yards (tackle by Michael Lewis)",0.000,0.940
1,3:02,1,10,WAS 30,7,3,Ladell Betts left end for 2 yards (tackle by Will Peterson),0.940,0.660
1,2:25,2,8,WAS 32,7,3,Ladell Betts left guard for 20 yards (tackle by Will Peterson and Jeremiah Trotter),0.660,2.390
1,1:42,1,10,PHI 48,7,3,Ladell Betts left guard for 4 yards (tackle by Jeremiah Trotter and Trent Cole),2.390,2.390
1,1:02,2,6,PHI 44,7,3,T.J. Duckett right end for -1 yards (tackle by Sean Considine and Juqua Parker),2.390,1.550
1,0:18,3,7,PHI 45,7,3,"Penalty on Santana Moss: False Start, 5 yards (no play)",1.550,0.890
Quarter,Time,Down,ToGo,Location,PHI,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,12,WAS 50,7,3,Jason Campbell pass complete short middle to Santana Moss for 16 yards (tackle by Juqua Parker),0.890,3.310
2,14:19,1,10,PHI 34,7,3,Ladell Betts right end for 4 yards (tackle by Jeremiah Trotter),3.310,3.310
2,13:39,2,6,PHI 30,7,3,Ladell Betts left tackle for 2 yards (tackle by Mike Patterson and Omar Gaither),3.310,2.870
2,12:58,3,4,PHI 28,7,3,Jason Campbell pass complete short left to Antwaan Randle El for 4 yards (tackle by Will Peterson),2.870,3.970
2,12:30,1,10,PHI 24,7,3,Ladell Betts left end for 4 yards (tackle by Omar Gaither),3.970,3.970
